Gene	Cytoband	(A) Immunomodulatory	(B) Luminal Androgen Receptor	(A) Immunomodulatory	(B) Luminal Androgen Receptor	Log2 Ratio	p-Value	q-Value	Higher expression in
DNAJC12	10q21.3	0.79	0.89	0.69	0.79	-0.11	0.849	0.952	(B) Luminal Androgen Receptor
HELQ	4q21.23	0.25	0.35	0.19	0.20	-0.11	0.474	0.810	(B) Luminal Androgen Receptor
CSNK2A1	20p13	0.13	0.24	0.27	0.41	-0.11	0.710	0.908	(B) Luminal Androgen Receptor
LIPT2	11q13.4	0.24	0.34	0.41	0.30	-0.11	0.656	0.888	(B) Luminal Androgen Receptor
FAM216B	13q14.11	0.46	0.57	0.58	0.55	-0.11	0.797	0.938	(B) Luminal Androgen Receptor
C11ORF21	11p15.5	0.97	1.08	0.49	0.76	-0.11	0.838	0.951	(B) Luminal Androgen Receptor
NBPF11	1q21.2	0.19	0.29	0.28	0.25	-0.11	0.577	0.856	(B) Luminal Androgen Receptor
ALKBH5	17p11.2	0.19	0.30	0.29	0.51	-0.11	0.760	0.925	(B) Luminal Androgen Receptor
THAP5	7q31.1	0.12	0.23	0.14	0.40	-0.11	0.692	0.901	(B) Luminal Androgen Receptor
BLID	11q24.1	0.10	0.20	0.21	0.29	-0.11	0.695	0.903	(B) Luminal Androgen Receptor
ZNF177	19p13.2	0.26	0.37	0.49	0.33	-0.11	0.692	0.902	(B) Luminal Androgen Receptor
MTMR3	22q12.2	0.03	0.14	0.10	0.05	-0.11	0.0390	0.429	(B) Luminal Androgen Receptor
LINC00942	12p13.33	0.32	0.43	0.47	0.74	-0.11	0.831	0.949	(B) Luminal Androgen Receptor
ZNF586	19q13.43	0.19	0.30	0.20	0.29	-0.11	0.598	0.864	(B) Luminal Androgen Receptor
PELI2	14q22.3	0.14	0.25	0.21	0.42	-0.11	0.710	0.908	(B) Luminal Androgen Receptor
METTL8	2q31.1	0.10	0.21	0.16	0.21	-0.11	0.490	0.816	(B) Luminal Androgen Receptor
RHPN1-AS1	8q24.3	0.20	0.31	0.26	0.27	-0.11	0.588	0.860	(B) Luminal Androgen Receptor
ZNF875	19q13.12	0.07	0.18	0.13	0.31	-0.11	0.610	0.870	(B) Luminal Androgen Receptor
PGM3	6q14.1	0.32	0.42	0.31	0.57	-0.11	0.782	0.934	(B) Luminal Androgen Receptor
TAF1	Xq13.1	0.08	0.19	0.15	0.30	-0.11	0.607	0.869	(B) Luminal Androgen Receptor
FBXL20	17q12	0.09	0.19	0.12	0.23	-0.11	0.505	0.821	(B) Luminal Androgen Receptor
SLFN5	17q12	0.65	0.76	0.47	0.15	-0.11	0.578	0.856	(B) Luminal Androgen Receptor
RIT1	1q22	0.10	0.21	0.26	0.22	-0.11	0.529	0.833	(B) Luminal Androgen Receptor
UBAC2-AS1	13q32.3	0.11	0.22	0.17	0.38	-0.11	0.680	0.897	(B) Luminal Androgen Receptor
ATIC	2q35	0.16	0.27	0.20	0.46	-0.11	0.730	0.915	(B) Luminal Androgen Receptor
EPHA4	2q36.1	0.44	0.55	0.35	0.48	-0.11	0.746	0.921	(B) Luminal Androgen Receptor
STPG1	1p36.11	0.08	0.19	0.15	0.32	-0.11	0.627	0.878	(B) Luminal Androgen Receptor
SPANXA2-OT1	Xq27.2	0.43	0.54	0.49	0.72	-0.11	0.871	0.960	(B) Luminal Androgen Receptor
FABP6	5q33.3	0.57	0.68	0.97	0.76	-0.11	0.858	0.956	(B) Luminal Androgen Receptor
C3ORF18	3p21.31	0.11	0.21	0.16	0.33	-0.11	0.632	0.880	(B) Luminal Androgen Receptor
CISH	3p21.2	0.50	0.61	0.42	0.19	-0.11	0.577	0.856	(B) Luminal Androgen Receptor
TM9SF1	14q12	0.19	0.30	0.29	0.15	-0.11	0.445	0.793	(B) Luminal Androgen Receptor
CCRL2	3p21.31	0.72	0.83	0.49	0.97	-0.11	0.868	0.960	(B) Luminal Androgen Receptor
ADCY10P1	6p21.1	0.35	0.45	0.43	0.79	-0.11	0.839	0.951	(B) Luminal Androgen Receptor
ANGPTL1	1q25.2	0.69	0.80	0.77	0.49	-0.11	0.793	0.936	(B) Luminal Androgen Receptor
CEACAM21	19q13.2	0.87	0.98	0.49	0.46	-0.11	0.750	0.922	(B) Luminal Androgen Receptor
CYP2D7	22q13.2	0.18	0.28	0.42	0.49	-0.11	0.756	0.924	(B) Luminal Androgen Receptor
COMTD1	10q22.2	0.50	0.61	0.52	0.68	-0.11	0.818	0.946	(B) Luminal Androgen Receptor
GGN	19q13.2	0.00	0.11	0.00	0.19	-0.11	0.426	0.780	(B) Luminal Androgen Receptor
C1QTNF4	11p11.2	0.25	0.36	0.29	0.32	-0.11	0.637	0.882	(B) Luminal Androgen Receptor
ZNF747	16p11.2	0.06	0.17	0.14	0.18	-0.11	0.426	0.780	(B) Luminal Androgen Receptor
HIPK1	1p13.2	0.09	0.20	0.11	0.18	-0.11	0.414	0.776	(B) Luminal Androgen Receptor
ADGRF5	6p12.3	0.26	0.37	0.32	0.64	-0.11	0.800	0.939	(B) Luminal Androgen Receptor
TOP3B	22q11.22	0.04	0.14	0.06	0.24	-0.11	0.524	0.830	(B) Luminal Androgen Receptor
PRH2	12p13.2	0.40	0.51	0.42	0.50	-0.11	0.759	0.925	(B) Luminal Androgen Receptor
UVRAG-DT	11q13.5	0.12	0.23	0.29	0.20	-0.11	0.537	0.838	(B) Luminal Androgen Receptor
GDF11	12q13.2	0.12	0.22	0.22	0.39	-0.11	0.684	0.899	(B) Luminal Androgen Receptor
BACE1	11q23.3	0.02	0.13	0.04	0.22	-0.11	0.480	0.812	(B) Luminal Androgen Receptor
ACSL3	2q36.1	0.12	0.23	0.23	0.39	-0.11	0.687	0.900	(B) Luminal Androgen Receptor
LAMTOR1	11q13.4	0.13	0.24	0.26	0.41	-0.11	0.702	0.905	(B) Luminal Androgen Receptor
HIVEP3	1p34.2	0.23	0.33	0.34	0.29	-0.11	0.624	0.876	(B) Luminal Androgen Receptor
ATP6V0C	16p13.3	0.11	0.22	0.23	0.28	-0.11	0.592	0.862	(B) Luminal Androgen Receptor
DAD1	14q11.2	0.28	0.38	0.39	0.19	-0.11	0.552	0.845	(B) Luminal Androgen Receptor
NMRAL1	16p13.3	0.22	0.33	0.25	0.57	-0.11	0.777	0.931	(B) Luminal Androgen Receptor
GABRG1	4p12	0.25	0.36	0.39	0.63	-0.11	0.801	0.940	(B) Luminal Androgen Receptor
JAM3	11q25	0.19	0.29	0.27	0.51	-0.11	0.753	0.923	(B) Luminal Androgen Receptor
FBF1	17q25.1	0.15	0.26	0.22	0.45	-0.11	0.719	0.911	(B) Luminal Androgen Receptor
MZF1-AS1	19q13.43	0.11	0.22	0.22	0.35	-0.11	0.652	0.887	(B) Luminal Androgen Receptor
NTMT1	9q34.11	0.18	0.29	0.24	0.51	-0.11	0.749	0.922	(B) Luminal Androgen Receptor
LTC4S	5q35.3	0.48	0.59	0.56	0.07	-0.11	0.603	0.867	(B) Luminal Androgen Receptor
ARHGAP35	19q13.32	0.06	0.17	0.15	0.29	-0.11	0.583	0.858	(B) Luminal Androgen Receptor
ZNRF3-AS1	22q12.1	0.17	0.28	0.18	0.49	-0.11	0.744	0.920	(B) Luminal Androgen Receptor
GINS3	16q21	0.23	0.34	0.37	0.42	-0.11	0.717	0.911	(B) Luminal Androgen Receptor
RBM7	11q23.1-q23.2	0.29	0.40	0.29	0.34	-0.11	0.656	0.888	(B) Luminal Androgen Receptor
PTGR2	14q24.3	0.24	0.35	0.30	0.31	-0.11	0.632	0.880	(B) Luminal Androgen Receptor
COPS4	4q21.22	0.23	0.34	0.27	0.34	-0.11	0.652	0.887	(B) Luminal Androgen Receptor
CLDN14	21q22.13	0.29	0.40	0.46	0.52	-0.11	0.769	0.928	(B) Luminal Androgen Receptor
DNASE1	16p13.3	0.24	0.35	0.36	0.28	-0.11	0.617	0.873	(B) Luminal Androgen Receptor
POM121L1P	22q11.22	0.40	0.51	0.47	0.46	-0.11	0.749	0.922	(B) Luminal Androgen Receptor
CERS5	12q13.12	0.07	0.18	0.13	0.17	-0.11	0.382	0.754	(B) Luminal Androgen Receptor
HOXC6	12q13.13	0.05	0.16	0.12	0.16	-0.11	0.357	0.738	(B) Luminal Androgen Receptor
MADD	11p11.2	0.16	0.27	0.25	0.30	-0.11	0.614	0.871	(B) Luminal Androgen Receptor
PIBF1	13q21.33-q22.1	0.24	0.35	0.28	0.49	-0.11	0.741	0.918	(B) Luminal Androgen Receptor
OSTM1	6q21	0.39	0.50	0.41	0.17	-0.11	0.546	0.842	(B) Luminal Androgen Receptor
RNF121	11q13.4	0.05	0.16	0.14	0.15	-0.11	0.331	0.726	(B) Luminal Androgen Receptor
CDH15	16q24.3	0.62	0.73	0.69	0.63	-0.11	0.818	0.946	(B) Luminal Androgen Receptor
NSFL1C	20p13	0.12	0.23	0.23	0.39	-0.11	0.684	0.899	(B) Luminal Androgen Receptor
TBC1D9B	5q35.3	0.10	0.21	0.19	0.20	-0.11	0.457	0.800	(B) Luminal Androgen Receptor
CSRNP3	2q24.3	0.50	0.61	0.58	0.58	-0.11	0.796	0.938	(B) Luminal Androgen Receptor
GSTO2	10q25.1	0.16	0.27	0.43	0.46	-0.11	0.740	0.918	(B) Luminal Androgen Receptor
MORC2	22q12.2	0.07	0.18	0.20	0.31	-0.11	0.614	0.871	(B) Luminal Androgen Receptor
CCDC192	5q23.2-q23.3	0.42	0.53	0.43	0.91	-0.11	0.857	0.956	(B) Luminal Androgen Receptor
FAM228A	2p23.3	0.48	0.59	0.53	0.58	-0.11	0.790	0.936	(B) Luminal Androgen Receptor
BAIAP2	17q25.3	0.16	0.27	0.38	0.23	-0.11	0.583	0.858	(B) Luminal Androgen Receptor
PIWIL2	8p21.3	0.17	0.28	0.29	0.49	-0.11	0.743	0.919	(B) Luminal Androgen Receptor
ACTA2	10q23.31	0.16	0.27	0.22	0.48	-0.11	0.731	0.915	(B) Luminal Androgen Receptor
CSNK1G1	15q22.31	0.03	0.14	0.06	0.25	-0.11	0.520	0.828	(B) Luminal Androgen Receptor
SYNRG	17q12	0.38	0.49	0.38	0.30	-0.11	0.636	0.881	(B) Luminal Androgen Receptor
LINC00649	21q22.11	0.63	0.74	0.53	0.43	-0.11	0.739	0.917	(B) Luminal Androgen Receptor
C1ORF174	1p36.32	0.11	0.22	0.12	0.38	-0.11	0.663	0.891	(B) Luminal Androgen Receptor
TST	22q12.3	0.31	0.42	0.50	0.63	-0.11	0.803	0.940	(B) Luminal Androgen Receptor
RERG	12p12.3	0.20	0.31	0.30	0.52	-0.11	0.756	0.924	(B) Luminal Androgen Receptor
CFAP70	10q22.2	0.47	0.58	0.48	0.57	-0.11	0.782	0.934	(B) Luminal Androgen Receptor
PPP1R14A	19q13.1	0.11	0.22	0.13	0.39	-0.11	0.673	0.894	(B) Luminal Androgen Receptor
RAPGEF2	4q32.1	0.10	0.21	0.12	0.36	-0.11	0.651	0.887	(B) Luminal Androgen Receptor
ORC2	2q33.1	0.08	0.19	0.15	0.19	-0.11	0.439	0.790	(B) Luminal Androgen Receptor
CFAP61	20p11.23	0.47	0.58	0.60	0.69	-0.11	0.822	0.947	(B) Luminal Androgen Receptor
VEGFC	4q34.3	0.28	0.39	0.35	0.35	-0.11	0.663	0.891	(B) Luminal Androgen Receptor
CFI	4q25	0.59	0.70	0.51	0.35	-0.11	0.697	0.904	(B) Luminal Androgen Receptor
HSD17B7	1q23.3	0.28	0.40	0.40	0.35	-0.11	0.672	0.894	(B) Luminal Androgen Receptor
SPACA4	19q13.33	0.16	0.27	0.38	0.38	-0.11	0.759	0.925	(B) Luminal Androgen Receptor
ZNF264	19q13.43	0.18	0.29	0.26	0.15	-0.11	0.415	0.776	(B) Luminal Androgen Receptor
WSB1	17q11.1	0.22	0.34	0.31	0.34	-0.11	0.654	0.887	(B) Luminal Androgen Receptor
KRT36	17q21.2	0.50	0.61	0.46	0.71	-0.11	0.819	0.946	(B) Luminal Androgen Receptor
COPS8	2q37.3	0.11	0.22	0.18	0.22	-0.11	0.492	0.817	(B) Luminal Androgen Receptor
HADHA	2p23.3	0.12	0.23	0.19	0.22	-0.11	0.494	0.818	(B) Luminal Androgen Receptor
SEPTIN7P2	7p12.3	0.05	0.16	0.10	0.27	-0.11	0.557	0.847	(B) Luminal Androgen Receptor
GOLT1A	1q32.1	0.22	0.33	0.46	0.58	-0.11	0.783	0.934	(B) Luminal Androgen Receptor
PTPRR	12q15	0.39	0.50	0.75	0.27	-0.11	0.725	0.914	(B) Luminal Androgen Receptor
HAT1	2q31.1	0.24	0.35	0.30	0.37	-0.11	0.671	0.894	(B) Luminal Androgen Receptor
ZNF362	1p35.1	0.06	0.17	0.10	0.25	-0.11	0.528	0.833	(B) Luminal Androgen Receptor
GOLGA2	9q34.11	0.16	0.27	0.28	0.46	-0.11	0.722	0.913	(B) Luminal Androgen Receptor
SIGLEC8	19q13.33-q13.41	0.63	0.75	0.62	1.01	-0.11	0.871	0.960	(B) Luminal Androgen Receptor
TFEB	6p21.1	0.28	0.39	0.28	0.36	-0.11	0.657	0.889	(B) Luminal Androgen Receptor
CD93	20p11.21	0.20	0.31	0.31	0.53	-0.11	0.757	0.924	(B) Luminal Androgen Receptor
CYBC1	17q25.3	0.40	0.51	0.31	0.24	-0.11	0.556	0.847	(B) Luminal Androgen Receptor
ZNF300	5q33.1	0.23	0.34	0.34	0.30	-0.11	0.617	0.873	(B) Luminal Androgen Receptor
PHAF1	16q22.1	0.13	0.24	0.28	0.25	-0.11	0.550	0.844	(B) Luminal Androgen Receptor
MED9	17p11.2	0.22	0.33	0.30	0.58	-0.11	0.774	0.930	(B) Luminal Androgen Receptor
FIBIN	11p14.2	0.17	0.29	0.26	0.50	-0.11	0.739	0.917	(B) Luminal Androgen Receptor
H2AZ2	7p13	0.07	0.18	0.12	0.17	-0.11	0.376	0.749	(B) Luminal Androgen Receptor
HSD17B4	5q23.1	0.10	0.21	0.13	0.25	-0.11	0.518	0.827	(B) Luminal Androgen Receptor
PRRG1	Xp21.1	0.29	0.40	0.34	0.36	-0.11	0.667	0.893	(B) Luminal Androgen Receptor
TBC1D1	4p14	0.17	0.29	0.22	0.49	-0.11	0.736	0.916	(B) Luminal Androgen Receptor
TRIM52	5q35.3	0.23	0.34	0.28	0.30	-0.11	0.606	0.868	(B) Luminal Androgen Receptor
IL7	8q21.13	0.55	0.66	0.30	0.30	-0.11	0.612	0.871	(B) Luminal Androgen Receptor
BLOC1S5	6p24.3	0.27	0.38	0.30	0.35	-0.11	0.651	0.887	(B) Luminal Androgen Receptor
SKA2	17q23.2	0.32	0.43	0.43	0.53	-0.11	0.762	0.925	(B) Luminal Androgen Receptor
CMTM2	16q21	0.39	0.51	0.60	0.52	-0.11	0.779	0.932	(B) Luminal Androgen Receptor
ZNF562	19p13.2	0.16	0.27	0.18	0.36	-0.11	0.651	0.887	(B) Luminal Androgen Receptor
HELB	12q14.3	0.53	0.64	0.55	0.22	-0.11	0.636	0.881	(B) Luminal Androgen Receptor
SCOC-AS1	4q31.1	0.35	0.46	0.50	0.28	-0.11	0.665	0.892	(B) Luminal Androgen Receptor
ARPIN-AP3S2	15q26.1	0.21	0.32	0.31	0.31	-0.11	0.628	0.878	(B) Luminal Androgen Receptor
CCR4	3p22.3	1.23	1.34	0.69	0.68	-0.11	0.820	0.947	(B) Luminal Androgen Receptor
UCK1	9q34.13	0.18	0.30	0.26	0.49	-0.11	0.737	0.917	(B) Luminal Androgen Receptor
LRRC20	10q22.1	0.28	0.40	0.32	0.68	-0.11	0.806	0.941	(B) Luminal Androgen Receptor
ARHGEF6	Xq26.3	0.45	0.57	0.48	0.50	-0.11	0.754	0.923	(B) Luminal Androgen Receptor
PNP	14q11.2	0.33	0.44	0.43	0.49	-0.11	0.745	0.920	(B) Luminal Androgen Receptor
OR2AE1	7q22.1	0.24	0.35	0.23	0.50	-0.11	0.805	0.941	(B) Luminal Androgen Receptor
RUNX2	6p21.1	0.25	0.36	0.41	0.32	-0.11	0.652	0.887	(B) Luminal Androgen Receptor
CSDC2	22q13.2	0.17	0.28	0.47	0.49	-0.11	0.749	0.922	(B) Luminal Androgen Receptor
RUSC1-AS1	1q22	0.24	0.35	0.37	0.50	-0.11	0.745	0.920	(B) Luminal Androgen Receptor
NFKBID	19q13.12	0.40	0.52	0.47	0.46	-0.11	0.735	0.916	(B) Luminal Androgen Receptor
TTYH2	17q25.1	0.20	0.31	0.24	0.54	-0.11	0.755	0.923	(B) Luminal Androgen Receptor
XPNPEP3	22q13.2	0.05	0.17	0.15	0.28	-0.11	0.556	0.847	(B) Luminal Androgen Receptor
STK4	20q13.12	0.58	0.70	0.43	0.25	-0.11	0.608	0.869	(B) Luminal Androgen Receptor
MIA3	1q41	0.04	0.15	0.06	0.19	-0.11	0.418	0.778	(B) Luminal Androgen Receptor
IGFL2-AS1	19q13.32	0.58	0.69	0.81	0.97	-0.11	0.911	0.971	(B) Luminal Androgen Receptor
CD300LB	17q25.1	0.61	0.72	0.74	0.63	-0.11	0.811	0.943	(B) Luminal Androgen Receptor
PI4K2B	4p15.2	0.40	0.52	0.28	0.45	-0.11	0.712	0.909	(B) Luminal Androgen Receptor
ZEB2	2q22.3	0.43	0.54	0.46	0.47	-0.11	0.738	0.917	(B) Luminal Androgen Receptor
CACUL1	10q26.11	0.10	0.22	0.21	0.22	-0.11	0.481	0.813	(B) Luminal Androgen Receptor
MED27	9q34.13	0.22	0.34	0.34	0.31	-0.11	0.628	0.878	(B) Luminal Androgen Receptor
MYCT1	6q25.2	0.36	0.47	0.37	0.69	-0.11	0.806	0.941	(B) Luminal Androgen Receptor
NR3C1	5q31.3	0.44	0.56	0.39	0.49	-0.11	0.741	0.918	(B) Luminal Androgen Receptor
OXNAD1	3p25.1-p24.3	0.39	0.51	0.30	0.44	-0.11	0.709	0.907	(B) Luminal Androgen Receptor
CEP70	3q22.3	0.28	0.40	0.34	0.35	-0.11	0.653	0.887	(B) Luminal Androgen Receptor
ZNF383	19q13.13	0.17	0.29	0.22	0.25	-0.11	0.528	0.833	(B) Luminal Androgen Receptor
CD33	19q13.41	0.38	0.50	0.58	0.64	-0.11	0.802	0.940	(B) Luminal Androgen Receptor
SLC35A1	6q15	0.34	0.45	0.45	0.58	-0.11	0.776	0.931	(B) Luminal Androgen Receptor
WASH3P	15q26.3	0.08	0.19	0.12	0.17	-0.11	0.365	0.743	(B) Luminal Androgen Receptor
RHOQ-AS1	2p21	0.26	0.38	0.33	0.16	-0.11	0.489	0.816	(B) Luminal Androgen Receptor
REXO1	19p13.3	0.10	0.22	0.16	0.21	-0.11	0.458	0.800	(B) Luminal Androgen Receptor
STYXL1	7q11.23	0.11	0.23	0.24	0.20	-0.11	0.467	0.806	(B) Luminal Androgen Receptor
BDNF	11p14.1	0.19	0.30	0.43	0.52	-0.11	0.756	0.924	(B) Luminal Androgen Receptor
HIF1A	14q23.2	0.39	0.50	0.36	0.24	-0.11	0.562	0.849	(B) Luminal Androgen Receptor
DPY19L1	7p14.2	0.03	0.14	0.06	0.24	-0.11	0.501	0.818	(B) Luminal Androgen Receptor
LINC00589	8p12	0.54	0.66	0.33	1.14	-0.11	0.879	0.963	(B) Luminal Androgen Receptor
BICD2	9q22.31	0.03	0.14	0.05	0.12	-0.12	0.246	0.655	(B) Luminal Androgen Receptor
OVCH1-AS1	12p11.22	0.67	0.79	0.10	0.68	-0.12	0.800	0.939	(B) Luminal Androgen Receptor
MLEC	12q24.31	0.06	0.17	0.08	0.27	-0.12	0.542	0.840	(B) Luminal Androgen Receptor
CEP162	6q14.2-q14.3	0.33	0.45	0.40	0.37	-0.12	0.675	0.895	(B) Luminal Androgen Receptor
TACO1	17q23.3	0.15	0.27	0.31	0.47	-0.12	0.721	0.913	(B) Luminal Androgen Receptor
ADM2	22q13.33	0.25	0.36	0.33	0.63	-0.12	0.785	0.935	(B) Luminal Androgen Receptor
EDNRB	13q22.3	0.35	0.47	0.34	0.81	-0.12	0.831	0.949	(B) Luminal Androgen Receptor
TNNC1	3p21.1	0.29	0.41	0.44	0.64	-0.12	0.793	0.937	(B) Luminal Androgen Receptor
TOP3A	17p11.2	0.14	0.26	0.26	0.25	-0.12	0.544	0.841	(B) Luminal Androgen Receptor
FRG1JP	9q13	0.61	0.72	0.81	0.96	-0.12	0.865	0.959	(B) Luminal Androgen Receptor
MOGS	2p13.1	0.10	0.22	0.15	0.37	-0.12	0.650	0.886	(B) Luminal Androgen Receptor
ZNF585A	19q13.12	0.09	0.21	0.22	0.18	-0.12	0.420	0.778	(B) Luminal Androgen Receptor
STRBP	9q33.3	0.20	0.32	0.34	0.32	-0.12	0.632	0.880	(B) Luminal Androgen Receptor
NLRC3	16p13.3	0.85	0.97	0.55	0.83	-0.12	0.840	0.951	(B) Luminal Androgen Receptor
RASA1	5q14.3	0.03	0.14	0.06	0.08	-0.12	0.112	0.505	(B) Luminal Androgen Receptor
SF1	11q13.1	0.05	0.17	0.08	0.29	-0.12	0.565	0.850	(B) Luminal Androgen Receptor
MAB21L2	4q31.3	0.42	0.53	0.42	0.40	-0.12	0.702	0.905	(B) Luminal Androgen Receptor
CCND1	11q13.3	0.06	0.18	0.13	0.31	-0.12	0.591	0.862	(B) Luminal Androgen Receptor
TYK2	19p13.2	0.14	0.26	0.15	0.25	-0.12	0.509	0.823	(B) Luminal Androgen Receptor
HSPB8	12q24.23	0.33	0.44	0.39	0.41	-0.12	0.699	0.904	(B) Luminal Androgen Receptor
AZIN1	8q22.3	0.03	0.15	0.08	0.26	-0.12	0.521	0.829	(B) Luminal Androgen Receptor
P2RY12	3q25.1	0.80	0.91	0.57	0.79	-0.12	0.832	0.949	(B) Luminal Androgen Receptor
LINC01465	12q14.1	0.13	0.24	0.18	0.17	-0.12	0.383	0.755	(B) Luminal Androgen Receptor
MTRR	5p15.31	0.16	0.27	0.24	0.48	-0.12	0.720	0.912	(B) Luminal Androgen Receptor
RNF41	12q13.3	0.15	0.27	0.37	0.05	-0.12	0.411	0.775	(B) Luminal Androgen Receptor
GLB1	3p22.3	0.11	0.22	0.30	0.39	-0.12	0.671	0.894	(B) Luminal Androgen Receptor
TUSC2	3p21.31	0.23	0.35	0.33	0.23	-0.12	0.541	0.839	(B) Luminal Androgen Receptor
CKAP4	12q23.3	0.13	0.25	0.19	0.43	-0.12	0.690	0.901	(B) Luminal Androgen Receptor
MEF2C	5q14.3	0.48	0.59	0.38	0.52	-0.12	0.750	0.922	(B) Luminal Androgen Receptor
USP12	13q12.13	0.26	0.38	0.35	0.26	-0.12	0.579	0.857	(B) Luminal Androgen Receptor
OGFOD3	17q25.3	0.28	0.39	0.31	0.40	-0.12	0.678	0.897	(B) Luminal Androgen Receptor
PLXNB2	22q13.33	0.02	0.14	0.04	0.24	-0.12	0.491	0.817	(B) Luminal Androgen Receptor
LINC01089	12q24.31	0.19	0.31	0.36	0.27	-0.12	0.589	0.861	(B) Luminal Androgen Receptor
SEC24B	4q25	0.10	0.22	0.18	0.17	-0.12	0.373	0.748	(B) Luminal Androgen Receptor
ZNF572	8q24.13	0.14	0.25	0.27	0.29	-0.12	0.586	0.859	(B) Luminal Androgen Receptor
CCDC87	11q13.2	0.20	0.32	0.24	0.28	-0.12	0.570	0.853	(B) Luminal Androgen Receptor
DCUN1D4	4q12	0.10	0.21	0.17	0.27	-0.12	0.541	0.839	(B) Luminal Androgen Receptor
SDHB	1p36.13	0.17	0.29	0.16	0.29	-0.12	0.563	0.849	(B) Luminal Androgen Receptor
ZNF879	5q35.3	0.34	0.46	0.38	0.35	-0.12	0.653	0.887	(B) Luminal Androgen Receptor
MDGA1	6p21.2	0.49	0.60	0.54	0.54	-0.12	0.768	0.928	(B) Luminal Androgen Receptor
C1ORF122	1p34.3	0.27	0.39	0.38	0.33	-0.12	0.640	0.883	(B) Luminal Androgen Receptor
RTTN	18q22.2	0.11	0.23	0.21	0.40	-0.12	0.668	0.893	(B) Luminal Androgen Receptor
HLA-DPB2	6p21.32	0.44	0.56	0.51	0.27	-0.12	0.638	0.883	(B) Luminal Androgen Receptor
EZR	6q25.3	0.33	0.44	0.29	0.77	-0.12	0.819	0.946	(B) Luminal Androgen Receptor
HIBADH	7p15.2	0.18	0.30	0.34	0.52	-0.12	0.743	0.919	(B) Luminal Androgen Receptor
STK11IP	2q35	0.10	0.22	0.26	0.25	-0.12	0.538	0.838	(B) Luminal Androgen Receptor
MIF4GD	17q25.1	0.14	0.25	0.20	0.30	-0.12	0.575	0.855	(B) Luminal Androgen Receptor
ELOVL2	6p24.2	0.22	0.34	0.40	0.44	-0.12	0.710	0.908	(B) Luminal Androgen Receptor
TCTA	3p21.31	0.07	0.19	0.11	0.32	-0.12	0.597	0.864	(B) Luminal Androgen Receptor
CYB5D2	17p13.2	0.17	0.29	0.24	0.50	-0.12	0.729	0.915	(B) Luminal Androgen Receptor
PTPN11	12q24.13	0.14	0.26	0.24	0.30	-0.12	0.588	0.860	(B) Luminal Androgen Receptor
LINC01415	18q21.2	0.27	0.38	0.33	0.42	-0.12	0.692	0.901	(B) Luminal Androgen Receptor
WDR26	1q42.11-q42.12	0.04	0.15	0.07	0.27	-0.12	0.529	0.833	(B) Luminal Androgen Receptor
KAT6A	8p11.21	0.05	0.17	0.11	0.30	-0.12	0.568	0.851	(B) Luminal Androgen Receptor
LINC00479	21q22.3	0.21	0.33	0.40	0.23	-0.12	0.645	0.884	(B) Luminal Androgen Receptor
CD84	1q23.3	0.54	0.66	0.56	0.70	-0.12	0.811	0.943	(B) Luminal Androgen Receptor
SNHG5	6q14.3	0.54	0.66	0.88	0.41	-0.12	0.771	0.929	(B) Luminal Androgen Receptor
PLEKHJ1	19p13.3	0.15	0.27	0.27	0.37	-0.12	0.654	0.887	(B) Luminal Androgen Receptor
ASB16-AS1	17q21.31	0.02	0.14	0.06	0.14	-0.12	0.282	0.685	(B) Luminal Androgen Receptor
UBE2W	8q21.11	0.11	0.23	0.19	0.27	-0.12	0.547	0.843	(B) Luminal Androgen Receptor
MOBP	3p22.1	0.22	0.34	0.33	0.58	-0.12	0.767	0.928	(B) Luminal Androgen Receptor
TAMM41	3p25.2	0.18	0.29	0.21	0.51	-0.12	0.732	0.915	(B) Luminal Androgen Receptor
PPP2R5C	14q32.31	0.26	0.38	0.28	0.16	-0.12	0.414	0.776	(B) Luminal Androgen Receptor
CMYA5	5q14.1	0.17	0.29	0.35	0.50	-0.12	0.735	0.916	(B) Luminal Androgen Receptor
IL6-AS1	7p15.3	0.62	0.74	0.66	0.84	-0.12	0.842	0.951	(B) Luminal Androgen Receptor
PLAC9	10q22.3	0.43	0.54	0.55	0.49	-0.12	0.749	0.922	(B) Luminal Androgen Receptor
GOLGA4	3p22.2	0.18	0.29	0.25	0.35	-0.12	0.631	0.879	(B) Luminal Androgen Receptor
PPP4R2	3p13	0.17	0.29	0.23	0.21	-0.12	0.468	0.806	(B) Luminal Androgen Receptor
NANP	20p11.21	0.07	0.19	0.18	0.33	-0.12	0.608	0.869	(B) Luminal Androgen Receptor
GPR34	Xp11.4	0.38	0.50	0.45	0.70	-0.12	0.805	0.941	(B) Luminal Androgen Receptor
FLG	1q21.3	0.14	0.26	0.21	0.36	-0.12	0.725	0.914	(B) Luminal Androgen Receptor
MMP11	22q11.23	0.23	0.35	0.43	0.61	-0.12	0.779	0.932	(B) Luminal Androgen Receptor
STUB1	16p13.3	0.20	0.32	0.33	0.55	-0.12	0.754	0.923	(B) Luminal Androgen Receptor
DPH7	9q34.3	0.18	0.29	0.23	0.49	-0.12	0.722	0.913	(B) Luminal Androgen Receptor
PDCL3	2q11.2	0.25	0.37	0.26	0.51	-0.12	0.734	0.916	(B) Luminal Androgen Receptor
