Gene	Cytoband	(A) Immunomodulatory	(B) Luminal Androgen Receptor	(A) Immunomodulatory	(B) Luminal Androgen Receptor	Log2 Ratio	p-Value	q-Value	Higher expression in
OLFM4	13q14.3	1.31	0.60	0.65	0.85	0.72	0.429	0.782	(A) Immunomodulatory
TGIF2-RAB5IF	20q11.23	0.72	0.00	1.02	0.00	0.71	0.191	0.601	(A) Immunomodulatory
SCGB2A1	11q12.3	0.73	0.01	0.82	0.02	0.71	0.0598	0.453	(A) Immunomodulatory
IRF1	5q31.1	1.04	0.33	0.43	0.29	0.71	0.0230	0.414	(A) Immunomodulatory
HLA-F	6p22.1	0.89	0.18	0.58	0.20	0.71	0.0144	0.382	(A) Immunomodulatory
LAP3	4p15.32	0.90	0.19	0.27	0.25	0.71	0.0164	0.390	(A) Immunomodulatory
DUSP2	2q11.2	1.15	0.44	0.33	0.67	0.71	0.201	0.613	(A) Immunomodulatory
PSMA8	18q11.2	0.94	0.24	0.72	0.41	0.71	0.0838	0.478	(A) Immunomodulatory
HLA-A	6p22.1	0.81	0.11	0.54	0.19	0.71	0.0106	0.353	(A) Immunomodulatory
SAA2	11p15.1	1.04	0.34	0.88	0.58	0.70	0.178	0.589	(A) Immunomodulatory
EGFL6	Xp22.2	0.72	0.02	0.49	0.03	0.70	4.968e-3	0.260	(A) Immunomodulatory
BMP6	6p24.3	1.02	0.32	0.68	0.55	0.70	0.147	0.556	(A) Immunomodulatory
CTAGE6	7q35	0.73	0.03	0.75	0.05	0.70	0.0480	0.438	(A) Immunomodulatory
MIR205HG	1q32.2	0.82	0.12	0.73	0.14	0.70	0.0308	0.429	(A) Immunomodulatory
TMOD1	9q22.33	0.83	0.14	0.41	0.17	0.70	3.296e-3	0.210	(A) Immunomodulatory
IGLL5	22q11.22	1.75	1.05	0.79	0.87	0.70	0.306	0.706	(A) Immunomodulatory
CD8A	2p11.2	1.20	0.50	0.72	0.87	0.70	0.302	0.703	(A) Immunomodulatory
LINC00487	2p25.2	0.77	0.08	0.82	0.13	0.70	0.0500	0.443	(A) Immunomodulatory
DAPL1	2q24.1	0.97	0.27	0.78	0.39	0.69	0.171	0.585	(A) Immunomodulatory
TBX21	17q21.32	1.26	0.57	0.50	0.55	0.69	0.141	0.546	(A) Immunomodulatory
GDF10	10q11.22	0.81	0.11	0.68	0.20	0.69	0.0288	0.429	(A) Immunomodulatory
SLCO5A1	8q13.3	1.04	0.34	0.69	0.59	0.69	0.170	0.585	(A) Immunomodulatory
LRRC55	11q12.1	0.94	0.25	0.95	0.32	0.69	0.106	0.497	(A) Immunomodulatory
NFASC	1q32.1	0.80	0.11	0.71	0.18	0.69	0.0316	0.429	(A) Immunomodulatory
GTSF1	12q13.13	1.12	0.43	0.79	0.51	0.69	0.140	0.546	(A) Immunomodulatory
USP30-AS1	12q24.11	1.21	0.53	0.37	0.77	0.68	0.259	0.666	(A) Immunomodulatory
PI3	20q13.12	1.19	0.51	1.06	0.88	0.68	0.338	0.732	(A) Immunomodulatory
