Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
NOL10	2p25.1	0.45	0.46	0.30	0.32	-0.01	0.944	0.989	(B) Mesenchymal
NCDN	1p34.3	0.31	0.32	0.30	0.51	-0.01	0.957	0.992	(B) Mesenchymal
TTC27	2p22.3	0.36	0.37	0.26	0.24	-0.01	0.930	0.987	(B) Mesenchymal
C16ORF46	16q23.2	0.32	0.33	0.50	0.42	-0.01	0.962	0.994	(B) Mesenchymal
FYTTD1	3q29	0.30	0.31	0.44	0.36	-0.01	0.956	0.992	(B) Mesenchymal
PLPP7	9q34.13	0.03	0.04	0.08	0.13	-0.01	0.829	0.960	(B) Mesenchymal
SPECC1L	22q11.23	0.21	0.22	0.30	0.34	-0.01	0.943	0.989	(B) Mesenchymal
IFT122	3q21.3-q22.1	0.12	0.13	0.31	0.18	-0.01	0.933	0.988	(B) Mesenchymal
ENTPD5	14q24.3	0.14	0.15	0.30	0.24	-0.01	0.934	0.988	(B) Mesenchymal
GJB2	13q12.11	0.18	0.19	0.47	0.56	-0.01	0.965	0.995	(B) Mesenchymal
SERF1B	5q13.2	0.20	0.22	0.23	0.30	-0.01	0.931	0.987	(B) Mesenchymal
DKK1	10q21.1	0.71	0.73	0.78	1.09	-0.01	0.980	0.996	(B) Mesenchymal
SNX9	6q25.3	0.11	0.12	0.19	0.17	-0.01	0.899	0.980	(B) Mesenchymal
CD300A	17q25.1	0.17	0.18	0.29	0.33	-0.01	0.941	0.989	(B) Mesenchymal
PYGO2	1q21.3	0.28	0.29	0.39	0.30	-0.01	0.949	0.990	(B) Mesenchymal
NDUFV1	11q13.2	0.33	0.34	0.28	0.37	-0.01	0.944	0.989	(B) Mesenchymal
POLK	5q13.3	0.15	0.16	0.25	0.28	-0.01	0.931	0.987	(B) Mesenchymal
SFR1	10q25.1	0.23	0.24	0.39	0.32	-0.01	0.949	0.990	(B) Mesenchymal
DPH5	1p21.2	0.26	0.27	0.32	0.22	-0.01	0.935	0.988	(B) Mesenchymal
DDX18	2q14.1	0.25	0.27	0.30	0.28	-0.01	0.936	0.988	(B) Mesenchymal
MSC	8q13.3	0.09	0.10	0.24	0.30	-0.01	0.931	0.987	(B) Mesenchymal
FYCO1	3p21.31	0.02	0.03	0.04	0.07	-0.01	0.680	0.918	(B) Mesenchymal
PGLYRP1	19q13.32	0.31	0.32	0.62	0.41	-0.01	0.971	0.995	(B) Mesenchymal
PTPN9	15q24.2	0.09	0.10	0.13	0.17	-0.01	0.871	0.970	(B) Mesenchymal
LCN6	9q34.3	0.25	0.27	0.36	0.48	-0.01	0.974	0.995	(B) Mesenchymal
HSD17B14	19q13.33	0.12	0.13	0.31	0.20	-0.01	0.931	0.987	(B) Mesenchymal
SLC35A3	1p21.2	0.29	0.30	0.29	0.35	-0.01	0.941	0.989	(B) Mesenchymal
TARDBP	1p36.22	0.13	0.15	0.14	0.20	-0.01	0.888	0.975	(B) Mesenchymal
BTG2	1q32.1	0.18	0.19	0.34	0.39	-0.01	0.948	0.990	(B) Mesenchymal
WEE1	11p15.4	0.30	0.31	0.34	0.41	-0.01	0.949	0.990	(B) Mesenchymal
FARP2	2q37.3	0.23	0.25	0.48	0.39	-0.01	0.957	0.992	(B) Mesenchymal
PI4K2A	10q24.2	0.02	0.03	0.03	0.08	-0.01	0.679	0.917	(B) Mesenchymal
TCOF1	5q32-q33.1	0.35	0.37	0.27	0.52	-0.01	0.953	0.990	(B) Mesenchymal
TMEM9	1q32.1	0.49	0.50	0.32	0.35	-0.01	0.943	0.989	(B) Mesenchymal
SMG1P3	16p12.2	0.24	0.26	0.27	0.47	-0.01	0.948	0.990	(B) Mesenchymal
EXD2	14q24.1	0.19	0.20	0.33	0.35	-0.01	0.943	0.989	(B) Mesenchymal
MMD	17q22	0.06	0.08	0.13	0.18	-0.01	0.875	0.971	(B) Mesenchymal
TMSB15B	Xq22.2	0.76	0.77	0.44	0.71	-0.01	0.966	0.995	(B) Mesenchymal
MED15	22q11.21	0.10	0.12	0.16	0.30	-0.01	0.918	0.984	(B) Mesenchymal
KLHDC9	1q23.3	0.68	0.69	0.83	0.65	-0.01	0.975	0.995	(B) Mesenchymal
PYM1	12q13.2	0.17	0.19	0.22	0.33	-0.01	0.930	0.987	(B) Mesenchymal
SAMM50	22q13.31	0.24	0.25	0.35	0.32	-0.01	0.942	0.989	(B) Mesenchymal
CTBP1-DT	4p16.3	0.27	0.28	0.31	0.42	-0.01	0.947	0.989	(B) Mesenchymal
RIF1	2q23.3	0.21	0.22	0.33	0.26	-0.01	0.936	0.988	(B) Mesenchymal
PPP1R12B	1q32.1	0.37	0.39	0.55	0.52	-0.01	0.964	0.994	(B) Mesenchymal
TLK1	2q31.1	0.13	0.15	0.19	0.22	-0.01	0.906	0.981	(B) Mesenchymal
MYLIP	6p22.3	0.15	0.17	0.25	0.24	-0.01	0.920	0.984	(B) Mesenchymal
RRP36	6p21.1	0.29	0.31	0.37	0.37	-0.01	0.947	0.989	(B) Mesenchymal
KIAA1671-AS1	22q11.23	0.42	0.44	0.53	0.73	-0.01	0.969	0.995	(B) Mesenchymal
CA11	19q13.33	0.32	0.33	0.33	0.64	-0.01	0.960	0.993	(B) Mesenchymal
METTL9	16p12.2	0.27	0.29	0.21	0.50	-0.01	0.946	0.989	(B) Mesenchymal
TNFRSF10C	8p21.3	0.23	0.24	0.33	0.53	-0.01	0.954	0.991	(B) Mesenchymal
KIF9	3p21.31	0.23	0.24	0.32	0.22	-0.01	0.930	0.987	(B) Mesenchymal
PBOV1	6q23.3	0.43	0.44	0.43	0.63	-0.01	0.967	0.995	(B) Mesenchymal
TRIM27	6p22.1	0.18	0.20	0.24	0.30	-0.01	0.926	0.986	(B) Mesenchymal
PRPSAP2	17p11.2	0.21	0.23	0.36	0.41	-0.01	0.948	0.990	(B) Mesenchymal
TRAM2	6p12.2	0.09	0.10	0.17	0.22	-0.01	0.899	0.979	(B) Mesenchymal
DCTN1	2p13.1	0.21	0.23	0.33	0.36	-0.01	0.942	0.989	(B) Mesenchymal
TBC1D12	10q23.33	0.10	0.11	0.15	0.18	-0.01	0.878	0.972	(B) Mesenchymal
IGFBP4	17q21.2	0.07	0.08	0.18	0.25	-0.01	0.907	0.982	(B) Mesenchymal
LOC389199	4p16.1	0.14	0.15	0.31	0.40	-0.01	0.950	0.990	(B) Mesenchymal
GPI	19q13.11	0.41	0.42	0.46	0.53	-0.01	0.959	0.993	(B) Mesenchymal
FOXB1	15q22.2	0.07	0.08	0.10	0.12	-0.01	0.915	0.983	(B) Mesenchymal
DNMT1	19p13.2	0.27	0.28	0.44	0.39	-0.01	0.951	0.990	(B) Mesenchymal
NDUFS5	1p34.3	0.31	0.33	0.41	0.37	-0.01	0.948	0.990	(B) Mesenchymal
ZNF468	19q13.41	0.07	0.08	0.15	0.10	-0.01	0.849	0.965	(B) Mesenchymal
MAP3K7	6q15	0.27	0.29	0.21	0.48	-0.01	0.942	0.989	(B) Mesenchymal
C3ORF49	3p14.1	0.20	0.22	0.35	0.25	-0.01	0.950	0.990	(B) Mesenchymal
MINDY1	1q21.3	0.35	0.36	0.39	0.41	-0.01	0.949	0.990	(B) Mesenchymal
DDHD1	14q22.1	0.09	0.10	0.16	0.23	-0.01	0.893	0.977	(B) Mesenchymal
BBS2	16q13	0.05	0.07	0.10	0.12	-0.01	0.811	0.955	(B) Mesenchymal
REXO2	11q23.2	0.37	0.38	0.29	0.51	-0.01	0.949	0.990	(B) Mesenchymal
MAFA-AS1	8q24.3	0.24	0.25	0.49	0.56	-0.01	0.968	0.995	(B) Mesenchymal
ARNT	1q21.3	0.25	0.26	0.29	0.36	-0.01	0.936	0.988	(B) Mesenchymal
LINC00536	8q23.3	0.78	0.79	0.83	0.98	-0.01	0.978	0.996	(B) Mesenchymal
MYO1F	19p13.2	0.04	0.05	0.06	0.15	-0.01	0.812	0.955	(B) Mesenchymal
CXORF38	Xp11.4	0.11	0.13	0.30	0.31	-0.01	0.931	0.987	(B) Mesenchymal
RTCA-AS1	1p21.2	0.15	0.17	0.19	0.30	-0.01	0.914	0.983	(B) Mesenchymal
PLEKHS1	10q25.3	0.58	0.59	0.70	0.68	-0.01	0.970	0.995	(B) Mesenchymal
LDLRAD4	18p11.21	0.53	0.54	0.59	0.67	-0.01	0.966	0.995	(B) Mesenchymal
PSMA3	14q23.1	0.20	0.21	0.31	0.40	-0.01	0.940	0.989	(B) Mesenchymal
RSBN1L	7q11.23	0.26	0.28	0.43	0.28	-0.01	0.944	0.989	(B) Mesenchymal
CLEC10A	17p13.1	0.18	0.19	0.38	0.38	-0.01	0.944	0.989	(B) Mesenchymal
H2BC17	6p22.1	0.81	0.82	0.81	0.74	-0.01	0.974	0.995	(B) Mesenchymal
IVD	15q15.1	0.13	0.14	0.22	0.21	-0.01	0.902	0.981	(B) Mesenchymal
DSCAML1	11q23.3	0.65	0.66	0.83	0.71	-0.01	0.975	0.995	(B) Mesenchymal
ZBTB20-AS1	3q13.31	0.22	0.24	0.55	0.41	-0.01	0.960	0.993	(B) Mesenchymal
TM4SF18	3q25.1	0.35	0.36	0.73	0.55	-0.01	0.968	0.995	(B) Mesenchymal
HELZ2	20q13.33	0.24	0.26	0.45	0.36	-0.01	0.949	0.990	(B) Mesenchymal
OLMALINC	10q24.31	0.31	0.33	0.55	0.38	-0.01	0.956	0.991	(B) Mesenchymal
NELFA	4p16.3	0.22	0.24	0.29	0.32	-0.01	0.929	0.987	(B) Mesenchymal
EIF1	17q21.2	0.09	0.11	0.16	0.16	-0.01	0.864	0.968	(B) Mesenchymal
IKZF5	10q26.13	0.19	0.20	0.27	0.25	-0.01	0.918	0.984	(B) Mesenchymal
PPFIBP1	12p11.23-p11.22	0.13	0.15	0.26	0.28	-0.01	0.921	0.984	(B) Mesenchymal
MFHAS1	8p23.1	0.19	0.20	0.51	0.30	-0.01	0.950	0.990	(B) Mesenchymal
GPATCH1	19q13.11	0.31	0.32	0.16	0.41	-0.01	0.928	0.987	(B) Mesenchymal
RPP14	3p14.3	0.25	0.27	0.18	0.41	-0.01	0.929	0.987	(B) Mesenchymal
SLC25A13	7q21.3	0.47	0.48	0.47	0.34	-0.01	0.948	0.990	(B) Mesenchymal
NXPH2	2q22.1	0.32	0.33	0.41	0.49	-0.01	0.962	0.994	(B) Mesenchymal
TTC32	2p24.1	0.59	0.61	0.48	0.57	-0.01	0.958	0.992	(B) Mesenchymal
SOCS3	17q25.3	0.12	0.13	0.29	0.28	-0.01	0.924	0.985	(B) Mesenchymal
PRORP	14q13.2	0.15	0.16	0.25	0.48	-0.01	0.941	0.989	(B) Mesenchymal
RPL26L1	5q35.1	0.20	0.22	0.21	0.25	-0.01	0.905	0.981	(B) Mesenchymal
TSR2	Xp11.22	0.34	0.35	0.41	0.44	-0.01	0.948	0.990	(B) Mesenchymal
OAZ2	15q22.31	0.27	0.28	0.28	0.31	-0.01	0.925	0.986	(B) Mesenchymal
RALGAPA1	14q13.2	0.18	0.19	0.24	0.39	-0.01	0.930	0.987	(B) Mesenchymal
TRAPPC10	21q22.3	0.12	0.14	0.21	0.18	-0.01	0.886	0.974	(B) Mesenchymal
DOCK11	Xq24	0.01	0.02	0.02	0.07	-0.01	0.593	0.887	(B) Mesenchymal
HCFC1R1	16p13.3	0.28	0.29	0.25	0.32	-0.01	0.920	0.984	(B) Mesenchymal
DAZAP1	19p13.3	0.21	0.23	0.27	0.30	-0.01	0.921	0.984	(B) Mesenchymal
SAP25	7q22.1	0.19	0.21	0.33	0.37	-0.01	0.936	0.988	(B) Mesenchymal
ZNF689	16p11.2	0.06	0.07	0.11	0.22	-0.01	0.866	0.969	(B) Mesenchymal
RRAS	19q13.33	0.04	0.06	0.08	0.10	-0.01	0.757	0.940	(B) Mesenchymal
HACD1	10p12.33	0.80	0.82	0.41	0.79	-0.01	0.963	0.994	(B) Mesenchymal
APOB	2p24.1	0.29	0.30	0.45	0.78	-0.01	0.966	0.995	(B) Mesenchymal
ST6GALNAC2	17q25.1	0.50	0.51	0.62	0.60	-0.01	0.963	0.994	(B) Mesenchymal
ATP11A	13q34	0.19	0.21	0.28	0.50	-0.01	0.941	0.989	(B) Mesenchymal
RN7SL1	14q21.3	0.15	0.16	0.33	0.49	-0.01	0.944	0.989	(B) Mesenchymal
TBC1D10A	22q12.2	0.16	0.17	0.27	0.28	-0.01	0.917	0.984	(B) Mesenchymal
GNL3	3p21.1	0.30	0.31	0.31	0.38	-0.01	0.934	0.988	(B) Mesenchymal
ZDHHC9	Xq26.1	0.34	0.36	0.46	0.45	-0.01	0.949	0.990	(B) Mesenchymal
IRF3	19q13.33	0.10	0.12	0.18	0.24	-0.01	0.888	0.975	(B) Mesenchymal
RWDD4	4q35.1	0.21	0.22	0.26	0.39	-0.01	0.928	0.987	(B) Mesenchymal
NOL6	9p13.3	0.52	0.53	0.38	0.55	-0.01	0.950	0.990	(B) Mesenchymal
ZNF780A	19q13.2	0.07	0.08	0.18	0.19	-0.01	0.874	0.971	(B) Mesenchymal
LINC01389	1p33	0.36	0.37	0.55	0.69	-0.01	0.971	0.995	(B) Mesenchymal
CIMAP1C	15q24.2	0.18	0.20	0.29	0.29	-0.02	0.919	0.984	(B) Mesenchymal
LSM10	1p34.3	0.22	0.23	0.22	0.42	-0.02	0.928	0.986	(B) Mesenchymal
ZNF790-AS1	19q13.12	0.52	0.53	0.48	0.49	-0.02	0.952	0.990	(B) Mesenchymal
TXNDC16	14q22.1	0.26	0.28	0.36	0.37	-0.02	0.936	0.988	(B) Mesenchymal
KIFBP	10q22.1	0.25	0.26	0.40	0.38	-0.02	0.940	0.989	(B) Mesenchymal
ABHD11	7q11.23	0.44	0.46	0.49	0.47	-0.02	0.951	0.990	(B) Mesenchymal
RNF26	11q23.3	0.37	0.39	0.37	0.51	-0.02	0.946	0.989	(B) Mesenchymal
YIPF6	Xq12-q13.1	0.20	0.21	0.21	0.27	-0.02	0.902	0.981	(B) Mesenchymal
LRTOMT	11q13.4	0.21	0.23	0.37	0.28	-0.02	0.930	0.987	(B) Mesenchymal
ZNHIT6	1p22.3	0.19	0.21	0.11	0.20	-0.02	0.852	0.965	(B) Mesenchymal
TSG101	11p15.1	0.15	0.16	0.20	0.23	-0.02	0.890	0.976	(B) Mesenchymal
MINDY3	10p13	0.25	0.26	0.28	0.38	-0.02	0.927	0.986	(B) Mesenchymal
PSMC1	14q32.11	0.25	0.27	0.25	0.41	-0.02	0.929	0.987	(B) Mesenchymal
CX3CR1	3p22.2	0.11	0.12	0.20	0.25	-0.02	0.894	0.977	(B) Mesenchymal
LHFPL2	5q14.1	0.18	0.19	0.37	0.40	-0.02	0.938	0.988	(B) Mesenchymal
RAP1A	1p13.2	0.04	0.06	0.05	0.10	-0.02	0.691	0.921	(B) Mesenchymal
RPLP2	11p15.5	0.20	0.21	0.25	0.29	-0.02	0.910	0.982	(B) Mesenchymal
JARID2	6p22.3	0.42	0.44	0.34	0.52	-0.02	0.943	0.989	(B) Mesenchymal
KCTD5	16p13.3	0.35	0.36	0.29	0.30	-0.02	0.916	0.984	(B) Mesenchymal
CPD	17q11.2	0.08	0.09	0.14	0.17	-0.02	0.843	0.963	(B) Mesenchymal
KBTBD11	8p23.3	0.46	0.48	0.50	0.49	-0.02	0.951	0.990	(B) Mesenchymal
CST9	20p11.21	0.33	0.35	0.57	0.31	-0.02	0.969	0.995	(B) Mesenchymal
NKAP	Xq24	0.21	0.22	0.28	0.31	-0.02	0.916	0.984	(B) Mesenchymal
USP8	15q21.2	0.09	0.10	0.14	0.22	-0.02	0.863	0.968	(B) Mesenchymal
TRIM36	5q22.3	0.15	0.17	0.26	0.27	-0.02	0.908	0.982	(B) Mesenchymal
LATS2	13q12.11	0.16	0.18	0.32	0.35	-0.02	0.926	0.986	(B) Mesenchymal
ANKZF1	2q35	0.25	0.26	0.37	0.35	-0.02	0.932	0.987	(B) Mesenchymal
GALC	14q31.3	0.03	0.05	0.08	0.11	-0.02	0.743	0.935	(B) Mesenchymal
SYNPO2	4q26	0.30	0.31	0.69	0.63	-0.02	0.963	0.994	(B) Mesenchymal
APBA2	15q13.1	0.27	0.28	0.56	0.51	-0.02	0.954	0.991	(B) Mesenchymal
LRCH4	7q22.1	0.17	0.18	0.33	0.31	-0.02	0.923	0.985	(B) Mesenchymal
C1ORF50	1p34.2	0.08	0.10	0.13	0.15	-0.02	0.823	0.958	(B) Mesenchymal
EPN3	17q21.33	0.32	0.33	0.40	0.49	-0.02	0.943	0.989	(B) Mesenchymal
ARL10	5q35.2	0.20	0.22	0.24	0.33	-0.02	0.912	0.983	(B) Mesenchymal
SCYL3	1q24.2	0.31	0.33	0.39	0.39	-0.02	0.936	0.988	(B) Mesenchymal
MIR31HG	9p21.3	0.10	0.12	0.27	0.18	-0.02	0.897	0.979	(B) Mesenchymal
MRPL58	17q25.1	0.28	0.29	0.41	0.37	-0.02	0.936	0.988	(B) Mesenchymal
AMMECR1	Xq23	0.26	0.27	0.33	0.42	-0.02	0.932	0.988	(B) Mesenchymal
DLC1	8p22	0.29	0.30	0.48	0.33	-0.02	0.939	0.989	(B) Mesenchymal
CXCL2	4q13.3	0.23	0.25	0.35	0.41	-0.02	0.932	0.988	(B) Mesenchymal
FOXD1	5q13.2	1.07	1.08	0.82	0.73	-0.02	0.968	0.995	(B) Mesenchymal
ZNF540	19q13.13	0.16	0.17	0.26	0.33	-0.02	0.913	0.983	(B) Mesenchymal
ADRB3	8p11.23	0.16	0.17	0.19	0.28	-0.02	0.905	0.981	(B) Mesenchymal
RTL6	22q13.31	0.34	0.36	0.40	0.34	-0.02	0.932	0.987	(B) Mesenchymal
PSTK	10q26.13	0.35	0.37	0.27	0.49	-0.02	0.933	0.988	(B) Mesenchymal
MCU	10q22.1	0.29	0.30	0.30	0.32	-0.02	0.917	0.984	(B) Mesenchymal
SAPCD2	9q34.3	0.55	0.56	0.70	0.59	-0.02	0.961	0.993	(B) Mesenchymal
ZNF330	4q31.21	0.06	0.08	0.10	0.12	-0.02	0.770	0.944	(B) Mesenchymal
DHX57	2p22.1	0.43	0.45	0.52	0.41	-0.02	0.946	0.989	(B) Mesenchymal
NAP1L3	Xq21.32	0.19	0.21	0.51	0.26	-0.02	0.939	0.989	(B) Mesenchymal
GRIA1	5q33.2	0.19	0.21	0.38	0.51	-0.02	0.954	0.991	(B) Mesenchymal
KDM1B	6p22.3	0.15	0.17	0.26	0.29	-0.02	0.906	0.981	(B) Mesenchymal
ACOT7	1p36.31	0.25	0.27	0.45	0.46	-0.02	0.943	0.989	(B) Mesenchymal
FAM32A	19p13.11	0.18	0.20	0.24	0.39	-0.02	0.917	0.984	(B) Mesenchymal
IL10RB-DT	21q22.11	0.11	0.13	0.18	0.27	-0.02	0.882	0.973	(B) Mesenchymal
S100A12	1q21.3	0.09	0.11	0.24	0.24	-0.02	0.907	0.982	(B) Mesenchymal
PIM3	22q13.33	0.40	0.41	0.36	0.53	-0.02	0.941	0.989	(B) Mesenchymal
HOTAIR	12q13.13	0.56	0.57	0.87	0.56	-0.02	0.967	0.995	(B) Mesenchymal
GDI1	Xq28	0.16	0.18	0.28	0.34	-0.02	0.914	0.983	(B) Mesenchymal
TMC3-AS1	15q25.1	0.10	0.12	0.19	0.31	-0.02	0.897	0.979	(B) Mesenchymal
ALX1	12q21.31	1.22	1.24	0.80	0.76	-0.02	0.973	0.995	(B) Mesenchymal
CEP43	6q27	0.35	0.37	0.33	0.47	-0.02	0.933	0.988	(B) Mesenchymal
FMN1	15q13.3	0.17	0.18	0.23	0.41	-0.02	0.918	0.984	(B) Mesenchymal
C6ORF62	6p22.3	0.21	0.23	0.25	0.31	-0.02	0.905	0.981	(B) Mesenchymal
EPHA7	6q16.1	0.66	0.67	0.69	0.92	-0.02	0.967	0.995	(B) Mesenchymal
TSPAN31	12q14.1	0.09	0.10	0.15	0.27	-0.02	0.874	0.971	(B) Mesenchymal
UCHL1	4p13	1.13	1.15	1.11	1.01	-0.02	0.975	0.995	(B) Mesenchymal
UBP1	3p22.3	0.40	0.42	0.33	0.45	-0.02	0.931	0.987	(B) Mesenchymal
UBE3D	6q14.1	0.27	0.28	0.52	0.38	-0.02	0.943	0.989	(B) Mesenchymal
STAT5A	17q21.2	0.24	0.26	0.34	0.64	-0.02	0.946	0.989	(B) Mesenchymal
ST6GAL1	3q27.3	0.06	0.08	0.12	0.19	-0.02	0.824	0.958	(B) Mesenchymal
CYREN	7q33	0.26	0.28	0.40	0.40	-0.02	0.933	0.988	(B) Mesenchymal
MICOS10P1	13q13.1	0.25	0.27	0.49	0.43	-0.02	0.941	0.989	(B) Mesenchymal
ARL14EP	11p14.1	0.11	0.13	0.20	0.20	-0.02	0.867	0.969	(B) Mesenchymal
NRG4	15q24.2	0.31	0.33	0.47	0.48	-0.02	0.943	0.989	(B) Mesenchymal
SUB1	5p13.3	0.46	0.48	0.53	0.54	-0.02	0.949	0.990	(B) Mesenchymal
PLEKHA3	2q31.2	0.27	0.29	0.34	0.38	-0.02	0.924	0.985	(B) Mesenchymal
SLC66A2	18q23	0.36	0.38	0.54	0.49	-0.02	0.947	0.990	(B) Mesenchymal
ACTR1B	2q11.2	0.23	0.25	0.27	0.34	-0.02	0.911	0.982	(B) Mesenchymal
APELA	4q32.3	0.27	0.29	0.50	0.43	-0.02	0.943	0.989	(B) Mesenchymal
PDLIM5	4q22.3	0.19	0.21	0.21	0.36	-0.02	0.903	0.981	(B) Mesenchymal
PPP4R3A	14q32.12	0.06	0.08	0.10	0.13	-0.02	0.767	0.944	(B) Mesenchymal
KLHL28	14q21.2	0.06	0.08	0.15	0.19	-0.02	0.835	0.962	(B) Mesenchymal
RILP	17p13.3	0.07	0.08	0.11	0.25	-0.02	0.855	0.965	(B) Mesenchymal
STAB2	12q23.3	0.21	0.23	0.52	0.61	-0.02	0.953	0.990	(B) Mesenchymal
TSEN34	19q13.42	0.36	0.38	0.40	0.49	-0.02	0.938	0.988	(B) Mesenchymal
METTL26	16p13.3	0.38	0.40	0.47	0.32	-0.02	0.933	0.988	(B) Mesenchymal
GALNS	16q24.3	0.23	0.25	0.27	0.36	-0.02	0.912	0.983	(B) Mesenchymal
SSBP1	7q34	0.45	0.47	0.49	0.38	-0.02	0.938	0.988	(B) Mesenchymal
GJA9	1p34.3	0.07	0.09	0.11	0.19	-0.02	0.839	0.963	(B) Mesenchymal
ATP13A3	3q29	0.25	0.27	0.28	0.36	-0.02	0.913	0.983	(B) Mesenchymal
LRRC2	3p21.31	0.16	0.18	0.21	0.37	-0.02	0.903	0.981	(B) Mesenchymal
ATP11A-AS1	13q34	0.36	0.37	0.50	0.45	-0.02	0.941	0.989	(B) Mesenchymal
IRF9	14q12	0.09	0.10	0.23	0.24	-0.02	0.879	0.972	(B) Mesenchymal
CHRM3	1q43	0.79	0.81	0.83	0.94	-0.02	0.968	0.995	(B) Mesenchymal
GALNT10	5q33.2	0.01	0.03	0.03	0.08	-0.02	0.536	0.869	(B) Mesenchymal
TEKT2	1p34.3	0.31	0.33	0.50	0.55	-0.02	0.946	0.989	(B) Mesenchymal
TMX1	14q22.1	0.14	0.16	0.19	0.28	-0.02	0.878	0.972	(B) Mesenchymal
RNF180	5q12.3	0.32	0.34	0.33	0.38	-0.02	0.920	0.984	(B) Mesenchymal
PCTP	17q22	0.27	0.29	0.35	0.40	-0.02	0.925	0.985	(B) Mesenchymal
LINC02883	15q25.3	0.08	0.10	0.16	0.23	-0.02	0.876	0.972	(B) Mesenchymal
LIMCH1	4p13	0.37	0.39	0.61	0.55	-0.02	0.952	0.990	(B) Mesenchymal
ZSCAN16-AS1	6p22.1	0.09	0.11	0.25	0.13	-0.02	0.863	0.968	(B) Mesenchymal
PI4KB	1q21.3	0.28	0.30	0.31	0.33	-0.02	0.912	0.983	(B) Mesenchymal
GABRA2	4p12	0.14	0.16	0.27	0.43	-0.02	0.930	0.987	(B) Mesenchymal
LINC01561	10q26.12	0.13	0.15	0.34	0.34	-0.02	0.919	0.984	(B) Mesenchymal
THRAP3	1p34.3	0.05	0.07	0.10	0.20	-0.02	0.818	0.957	(B) Mesenchymal
ADAM21	14q24.2	0.28	0.30	0.55	0.53	-0.02	0.947	0.989	(B) Mesenchymal
NANP	20p11.21	0.41	0.43	0.54	0.39	-0.02	0.941	0.989	(B) Mesenchymal
RORB	9q21.13	0.15	0.17	0.39	0.29	-0.02	0.927	0.986	(B) Mesenchymal
FNDC8	17q12	0.38	0.40	0.44	0.50	-0.02	0.939	0.989	(B) Mesenchymal
LINC01725	1p31.1	0.37	0.38	0.52	0.51	-0.02	0.944	0.989	(B) Mesenchymal
CFAP68	11q23.1	0.39	0.41	0.48	0.43	-0.02	0.937	0.988	(B) Mesenchymal
LINC00639	14q21.1	0.06	0.08	0.16	0.24	-0.02	0.855	0.965	(B) Mesenchymal
EAF1	3p25.1	0.17	0.19	0.28	0.31	-0.02	0.901	0.980	(B) Mesenchymal
PIK3C2A	11p15.1	0.22	0.23	0.37	0.30	-0.02	0.914	0.983	(B) Mesenchymal
PEX19	1q23.2	0.30	0.31	0.33	0.34	-0.02	0.914	0.983	(B) Mesenchymal
CLUH	17p13.3	0.49	0.50	0.43	0.64	-0.02	0.945	0.989	(B) Mesenchymal
GTPBP1	22q13.1	0.08	0.10	0.16	0.16	-0.02	0.817	0.957	(B) Mesenchymal
SLC12A7	5p15.33	0.30	0.31	0.43	0.41	-0.02	0.931	0.987	(B) Mesenchymal
DMTF1	7q21.12	0.23	0.25	0.39	0.23	-0.02	0.912	0.983	(B) Mesenchymal
FTL	19q13.33	0.13	0.15	0.18	0.32	-0.02	0.883	0.973	(B) Mesenchymal
TACC3	4p16.3	0.44	0.46	0.50	0.48	-0.02	0.940	0.989	(B) Mesenchymal
HYPK	15q15.3	0.21	0.23	0.33	0.25	-0.02	0.901	0.981	(B) Mesenchymal
PIWIL2	8p21.3	0.35	0.37	0.49	0.84	-0.02	0.956	0.991	(B) Mesenchymal
PHOSPHO2	2q31.1	0.18	0.20	0.29	0.30	-0.02	0.900	0.980	(B) Mesenchymal
CNTN1	12q12	0.26	0.27	0.45	0.48	-0.02	0.936	0.988	(B) Mesenchymal
RB1	13q14.2	0.15	0.17	0.19	0.34	-0.02	0.890	0.976	(B) Mesenchymal
MELTF-AS1	3q29	0.64	0.66	0.56	0.65	-0.02	0.951	0.990	(B) Mesenchymal
TIGD4	4q31.3	0.54	0.56	0.54	0.65	-0.02	0.950	0.990	(B) Mesenchymal
NPTN-IT1	15q24.1	0.21	0.23	0.27	0.46	-0.02	0.919	0.984	(B) Mesenchymal
XCR1	3p21.31	0.05	0.07	0.14	0.14	-0.02	0.796	0.951	(B) Mesenchymal
GPR83	11q21	0.59	0.61	0.79	1.03	-0.02	0.968	0.995	(B) Mesenchymal
EYA1	8q13.3	0.56	0.58	0.64	0.83	-0.02	0.959	0.993	(B) Mesenchymal
RGP1	9p13.3	0.19	0.21	0.30	0.27	-0.02	0.897	0.979	(B) Mesenchymal
RNF157	17q25.1	0.17	0.19	0.44	0.40	-0.02	0.929	0.987	(B) Mesenchymal
LPCAT2	16q12.2	0.06	0.08	0.15	0.13	-0.02	0.795	0.951	(B) Mesenchymal
STX1B	16p11.2	0.30	0.32	0.45	0.57	-0.02	0.940	0.989	(B) Mesenchymal
FUCA2	6q24.2	0.18	0.20	0.32	0.40	-0.02	0.915	0.983	(B) Mesenchymal
TGFBR3L	19p13.2	0.43	0.45	0.76	0.63	-0.02	0.962	0.994	(B) Mesenchymal
PSMD3	17q21.1	0.27	0.29	0.32	0.37	-0.02	0.910	0.982	(B) Mesenchymal
