Gene	Cytoband	(A) Basal-Like 1	(B) Mesenchymal	(A) Basal-Like 1	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
TUBAL3	10p15.1	1.27	0.43	0.88	0.59	0.85	0.0560	0.692	(A) Basal-Like 1
HS3ST6	16p13.3	1.52	0.68	0.33	0.96	0.85	0.0979	0.692	(A) Basal-Like 1
WFDC21P	17q23.1	1.33	0.48	0.97	0.90	0.84	0.106	0.692	(A) Basal-Like 1
TMEM74	8q23.1	1.27	0.43	0.43	0.53	0.84	3.503e-3	0.692	(A) Basal-Like 1
GLDC	9p24.1	1.31	0.47	1.20	0.73	0.84	0.135	0.701	(A) Basal-Like 1
RHEX	1q32.1	1.69	0.86	1.19	1.03	0.84	0.164	0.714	(A) Basal-Like 1
ANKRD36BP2	2p11.2	1.06	0.23	0.85	0.41	0.84	0.0427	0.692	(A) Basal-Like 1
PDZK1IP1	1p33	1.11	0.28	0.67	0.51	0.83	0.0199	0.692	(A) Basal-Like 1
IGLL5	22q11.22	1.03	0.19	0.86	0.38	0.83	0.0439	0.692	(A) Basal-Like 1
SLAIN1	13q22.3	0.89	0.05	0.88	0.16	0.83	0.0467	0.692	(A) Basal-Like 1
GABRB1	4p12	0.97	0.14	1.01	0.24	0.83	0.142	0.706	(A) Basal-Like 1
CYP3A4	7q22.1	1.18	0.35	0.88	0.51	0.83	0.108	0.692	(A) Basal-Like 1
TNFRSF17	16p13.13	0.88	0.06	0.83	0.17	0.82	0.0391	0.692	(A) Basal-Like 1
RFX5	1q21.3	0.91	0.09	0.49	0.15	0.82	3.842e-3	0.692	(A) Basal-Like 1
SLC28A1	15q25.3	1.23	0.41	0.87	0.74	0.82	0.0742	0.692	(A) Basal-Like 1
HTR1D	1p36.12	1.00	0.18	0.82	0.51	0.82	0.0632	0.692	(A) Basal-Like 1
COL20A1	20q13.33	0.98	0.16	0.84	0.35	0.82	0.145	0.706	(A) Basal-Like 1
GPR37L1	1q32.1	1.02	0.20	0.81	0.33	0.82	0.0377	0.692	(A) Basal-Like 1
TEX44	2q37.1	1.08	0.26	1.05	0.39	0.82	0.309	0.779	(A) Basal-Like 1
ADCYAP1	18p11.32	1.51	0.69	0.83	0.91	0.82	0.0834	0.692	(A) Basal-Like 1
MMP1	11q22.2	1.02	0.21	0.71	0.34	0.82	0.0228	0.692	(A) Basal-Like 1
CCNYL4	10p11.1	0.94	0.12	0.09	0.21	0.82	0.0127	0.692	(A) Basal-Like 1
CD38	4p15.32	0.82	0.01	0.71	0.04	0.80	0.0240	0.692	(A) Basal-Like 1
ZIC5	13q32.3	1.04	0.24	0.99	0.59	0.80	0.100	0.692	(A) Basal-Like 1
ZBTB18	1q44	1.02	0.22	0.57	0.28	0.80	8.491e-3	0.692	(A) Basal-Like 1
ACTG2	2p13.1	1.45	0.64	1.01	1.08	0.80	0.150	0.709	(A) Basal-Like 1
PCDHA8	5q31.3	0.92	0.12	0.54	0.21	0.80	0.0129	0.692	(A) Basal-Like 1
FAM81A	15q22.2	1.30	0.50	0.63	0.66	0.80	0.0278	0.692	(A) Basal-Like 1
SOX15	17p13.1	1.26	0.46	0.91	0.81	0.80	0.0911	0.692	(A) Basal-Like 1
ADAM9	8p11.22	0.89	0.09	0.86	0.19	0.80	0.0486	0.692	(A) Basal-Like 1
PYDC1	16p11.2	1.52	0.72	1.30	1.13	0.80	0.355	0.799	(A) Basal-Like 1
SCNN1G	16p12.2	1.23	0.43	0.75	0.50	0.80	0.0355	0.692	(A) Basal-Like 1
RAET1L	6q25.1	1.03	0.24	0.73	0.58	0.80	0.0395	0.692	(A) Basal-Like 1
FAM72A	1q32.1	1.27	0.48	0.42	0.43	0.80	2.675e-3	0.692	(A) Basal-Like 1
CNTN5	11q22.1	1.28	0.48	1.50	0.53	0.79	0.376	0.806	(A) Basal-Like 1
KCNB2	8q21.11	1.00	0.21	0.98	0.37	0.79	0.0819	0.692	(A) Basal-Like 1
GBP5	1p22.2	0.84	0.05	0.60	0.11	0.79	0.0124	0.692	(A) Basal-Like 1
