Gene	Cytoband	(A) Immunomodulatory	(B) Mesenchymal	(A) Immunomodulatory	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
ISG20	15q26.1	1.20	0.06	0.40	0.12	1.14	4.646e-5	6.787e-3	(A) Immunomodulatory
AICDA	12p13.31	1.24	0.06	0.43	0.14	1.18	4.807e-5	6.970e-3	(A) Immunomodulatory
B2M	15q21.1	0.84	0.03	0.29	0.09	0.81	4.925e-5	7.089e-3	(A) Immunomodulatory
CYLD	16q12.1	0.72	0.07	0.25	0.13	0.65	5.189e-5	7.308e-3	(A) Immunomodulatory
PTPN22	1p13.2	1.00	0.08	0.36	0.23	0.92	5.232e-5	7.316e-3	(A) Immunomodulatory
LCK	1p35.2	1.25	0.03	0.42	0.09	1.23	5.278e-5	7.327e-3	(A) Immunomodulatory
CLIC2	Xq28	0.89	0.03	0.31	0.10	0.86	5.362e-5	7.343e-3	(A) Immunomodulatory
GPR18	13q32.3	1.23	0.11	0.44	0.27	1.12	5.364e-5	7.343e-3	(A) Immunomodulatory
GBP5	1p22.2	1.36	0.05	0.46	0.11	1.31	5.599e-5	7.508e-3	(A) Immunomodulatory
LINC00402	13q22.1	1.51	0.09	0.50	0.13	1.42	5.985e-5	7.883e-3	(A) Immunomodulatory
N4BP2L1	13q13.1	0.67	0.09	0.22	0.20	0.58	5.999e-5	7.883e-3	(A) Immunomodulatory
PDCD1	2q37.3	1.41	0.24	0.45	0.38	1.17	6.001e-5	7.883e-3	(A) Immunomodulatory
GBP1P1	1p22.2	1.28	0.14	0.45	0.31	1.14	6.065e-5	7.915e-3	(A) Immunomodulatory
OR2A42	7q35	0.02	1.04	0.03	0.04	-1.03	6.107e-5	7.917e-3	(B) Mesenchymal
GIMAP2	7q36.1	0.98	0.07	0.35	0.15	0.92	6.156e-5	7.928e-3	(A) Immunomodulatory
CTSC	11q14.2	0.84	0.13	0.28	0.22	0.71	6.793e-5	8.635e-3	(A) Immunomodulatory
RTN4RL2	11q12.1	0.13	1.05	0.37	0.24	-0.92	7.090e-5	8.954e-3	(B) Mesenchymal
CCR6	6q27	1.30	0.06	0.47	0.17	1.25	7.388e-5	9.270e-3	(A) Immunomodulatory
CD28	2q33.2	1.22	0.02	0.42	0.07	1.20	7.452e-5	9.292e-3	(A) Immunomodulatory
GZMA	5q11.2	1.39	0.09	0.52	0.27	1.30	7.890e-5	9.775e-3	(A) Immunomodulatory
NKG7	19q13.41	1.45	0.07	0.52	0.15	1.39	8.630e-5	0.0105	(A) Immunomodulatory
CXCL11	4q21.1	1.49	0.30	0.45	0.47	1.19	8.672e-5	0.0105	(A) Immunomodulatory
STAT4	2q32.2-q32.3	1.04	0.03	0.37	0.06	1.02	8.730e-5	0.0105	(A) Immunomodulatory
EML4-AS1	2p21	1.12	0.06	0.40	0.10	1.07	9.227e-5	0.0111	(A) Immunomodulatory
CD244	1q23.3	1.13	0.01	0.40	0.03	1.12	9.956e-5	0.0118	(A) Immunomodulatory
LINC00426	13q12.3	0.99	0.10	0.36	0.16	0.89	9.994e-5	0.0118	(A) Immunomodulatory
TIFAB	5q31.1	1.31	0.28	0.40	0.42	1.03	1.111e-4	0.0130	(A) Immunomodulatory
TCL1A	14q32.13	1.58	0.35	0.49	0.43	1.24	1.140e-4	0.0133	(A) Immunomodulatory
LINC01857	2q33.3	0.84	0.03	0.32	0.10	0.81	1.174e-4	0.0136	(A) Immunomodulatory
SHISAL2A	1p32.3	1.11	0.01	0.41	0.04	1.09	1.255e-4	0.0144	(A) Immunomodulatory
DIPK1A	1p22.1	0.87	0.11	0.33	0.22	0.76	1.346e-4	0.0153	(A) Immunomodulatory
RASGRP2	11q13.1	1.10	0.10	0.43	0.25	1.00	1.348e-4	0.0153	(A) Immunomodulatory
CH25H	10q23.31	1.26	0.21	0.38	0.48	1.06	1.394e-4	0.0157	(A) Immunomodulatory
GIMAP4	7q36.1	0.95	0.03	0.36	0.09	0.92	1.420e-4	0.0159	(A) Immunomodulatory
SNX20	16q12.1	1.08	0.05	0.44	0.15	1.03	1.659e-4	0.0183	(A) Immunomodulatory
FLT3	13q12.2	1.31	0.27	0.34	0.50	1.04	1.677e-4	0.0184	(A) Immunomodulatory
