Gene	Cytoband	(A) Immunomodulatory	(B) Mesenchymal	(A) Immunomodulatory	(B) Mesenchymal	Log2 Ratio	p-Value	q-Value	Higher expression in
KNL1	15q15.1	0.22	0.41	0.39	0.46	-0.19	0.365	0.710	(B) Mesenchymal
KRT4	12q13.13	0.36	0.94	0.88	1.36	-0.58	0.365	0.710	(B) Mesenchymal
MYLK4	6p25.2	0.21	0.44	0.40	0.57	-0.22	0.365	0.710	(B) Mesenchymal
NIFK-AS1	2q14.3	0.21	0.35	0.27	0.35	-0.14	0.365	0.710	(B) Mesenchymal
ELAVL4	1p33-p32.3	0.46	0.78	0.50	0.87	-0.32	0.365	0.710	(B) Mesenchymal
AIRE	21q22.3	0.02	0.16	0.04	0.27	-0.14	0.365	0.710	(B) Mesenchymal
IGSF3	1p13.1	0.20	0.37	0.33	0.44	-0.18	0.365	0.710	(B) Mesenchymal
PGGHG	11p15.5	0.50	0.23	0.67	0.47	0.27	0.365	0.710	(A) Immunomodulatory
ZSCAN5A	19q13.43	0.25	0.47	0.30	0.62	-0.22	0.365	0.710	(B) Mesenchymal
COP1	1q25.1-q25.2	0.23	0.40	0.31	0.44	-0.17	0.365	0.710	(B) Mesenchymal
C1RL	12p13.31	0.36	0.17	0.43	0.36	0.18	0.365	0.710	(A) Immunomodulatory
RCAN3	1p36.11	0.11	0.26	0.27	0.38	-0.15	0.365	0.710	(B) Mesenchymal
UBTD2	5q35.1	0.15	0.05	0.29	0.10	0.10	0.365	0.710	(A) Immunomodulatory
PPP4R3A	14q32.12	0.16	0.08	0.23	0.13	0.09	0.365	0.710	(A) Immunomodulatory
TRIM39	6p22.1	0.16	0.30	0.17	0.39	-0.13	0.365	0.710	(B) Mesenchymal
STX5	11q12.3	0.25	0.14	0.29	0.20	0.11	0.365	0.710	(A) Immunomodulatory
TFAP2C	20q13.31	0.44	0.65	0.47	0.50	-0.22	0.365	0.710	(B) Mesenchymal
MEMO1	2p22.3	0.24	0.44	0.45	0.43	-0.20	0.365	0.710	(B) Mesenchymal
CBL	11q23.3	0.10	0.24	0.19	0.40	-0.14	0.365	0.711	(B) Mesenchymal
DTNB	2p23.3	0.37	0.61	0.51	0.55	-0.24	0.366	0.711	(B) Mesenchymal
CACNG6	19q13.42	0.40	0.11	0.67	0.23	0.29	0.366	0.711	(A) Immunomodulatory
CKMT2-AS1	5q14.1	0.32	0.18	0.33	0.26	0.14	0.366	0.711	(A) Immunomodulatory
RELL1	4p14	0.30	0.14	0.41	0.27	0.16	0.366	0.711	(A) Immunomodulatory
CASP9	1p36.21	0.13	0.05	0.20	0.14	0.08	0.366	0.711	(A) Immunomodulatory
PPAT	4q12	0.19	0.35	0.19	0.47	-0.16	0.366	0.711	(B) Mesenchymal
LRRC31	3q26.2	0.77	0.15	1.15	0.33	0.62	0.366	0.711	(A) Immunomodulatory
TAS2R19	12p13.2	0.18	0.41	0.38	0.59	-0.22	0.366	0.711	(B) Mesenchymal
RBM25	14q24.2	0.38	0.21	0.44	0.28	0.17	0.366	0.711	(A) Immunomodulatory
BEND5	1p33	0.50	0.31	0.36	0.48	0.19	0.366	0.711	(A) Immunomodulatory
MIA2	14q13.2	0.30	0.17	0.29	0.30	0.13	0.366	0.711	(A) Immunomodulatory
TPGS1	19p13.3	0.24	0.11	0.35	0.19	0.13	0.366	0.711	(A) Immunomodulatory
C20ORF202	20p13	0.35	0.55	0.43	0.45	-0.20	0.366	0.711	(B) Mesenchymal
MED19	11q12.1	0.23	0.37	0.31	0.32	-0.14	0.366	0.711	(B) Mesenchymal
CCNYL6	19p12	0.12	0.29	0.23	0.50	-0.17	0.366	0.711	(B) Mesenchymal
GPS1	17q25.3	0.28	0.49	0.27	0.59	-0.21	0.366	0.711	(B) Mesenchymal
ACBD4	17q21.31	0.25	0.12	0.32	0.25	0.13	0.366	0.711	(A) Immunomodulatory
BCAP31	Xq28	0.20	0.39	0.37	0.47	-0.19	0.366	0.711	(B) Mesenchymal
GATB	4q31.3	0.27	0.14	0.31	0.26	0.13	0.366	0.711	(A) Immunomodulatory
HGF	7q21.11	0.40	0.17	0.53	0.50	0.23	0.366	0.711	(A) Immunomodulatory
SCARNA6	2q37.1	0.15	0.41	0.18	0.49	-0.27	0.366	0.711	(B) Mesenchymal
RPUSD2	15q15.1	0.12	0.23	0.17	0.30	-0.11	0.366	0.711	(B) Mesenchymal
JUND	19p13.11	0.44	0.23	0.44	0.47	0.20	0.367	0.711	(A) Immunomodulatory
RAB27B	18q21.2	0.25	0.10	0.44	0.19	0.16	0.367	0.711	(A) Immunomodulatory
SLC19A1	21q22.3	0.25	0.49	0.38	0.64	-0.24	0.367	0.711	(B) Mesenchymal
SLC25A35	17p13.1	0.17	0.38	0.34	0.56	-0.21	0.367	0.711	(B) Mesenchymal
DEAF1	11p15.5	0.21	0.09	0.29	0.22	0.12	0.367	0.711	(A) Immunomodulatory
CDHR5	11p15.5	0.13	0.32	0.17	0.56	-0.19	0.367	0.711	(B) Mesenchymal
COX18	4q13.3	0.25	0.15	0.14	0.29	0.10	0.367	0.711	(A) Immunomodulatory
MED28	4p15.32	0.32	0.18	0.29	0.35	0.14	0.367	0.711	(A) Immunomodulatory
MRPL32	7p14.1	0.22	0.35	0.22	0.37	-0.14	0.367	0.711	(B) Mesenchymal
DIXDC1	11q23.1	0.08	0.20	0.14	0.37	-0.12	0.367	0.711	(B) Mesenchymal
REXO4	9q34.2	0.20	0.08	0.31	0.16	0.12	0.367	0.711	(A) Immunomodulatory
RIN1	11q13.2	0.17	0.37	0.49	0.37	-0.20	0.367	0.711	(B) Mesenchymal
FIS1	7q22.1	0.21	0.33	0.25	0.30	-0.13	0.367	0.711	(B) Mesenchymal
C3ORF38	3p11.1	0.38	0.25	0.22	0.34	0.13	0.367	0.711	(A) Immunomodulatory
CCDC178	18q12.1	0.67	0.36	0.74	0.57	0.31	0.367	0.711	(A) Immunomodulatory
CDCA7L	7p15.3	0.38	0.22	0.38	0.32	0.16	0.367	0.711	(A) Immunomodulatory
MAP1LC3C	1q43	0.61	0.35	0.60	0.47	0.26	0.367	0.711	(A) Immunomodulatory
GALR2	17q25.1	0.19	0.49	0.41	0.72	-0.30	0.367	0.711	(B) Mesenchymal
OR51E1	11p15.4	0.34	0.60	0.48	0.63	-0.25	0.367	0.711	(B) Mesenchymal
NAGS	17q21.31	0.29	0.15	0.35	0.29	0.15	0.367	0.711	(A) Immunomodulatory
NCR3LG1	11p15.1	0.22	0.49	0.46	0.72	-0.27	0.367	0.711	(B) Mesenchymal
TAS2R46	12p13.2	0.37	0.17	0.35	0.38	0.19	0.367	0.711	(A) Immunomodulatory
MAFA-AS1	8q24.3	0.74	0.25	0.50	0.56	0.49	0.367	0.711	(A) Immunomodulatory
USP8	15q21.2	0.23	0.10	0.31	0.22	0.12	0.367	0.711	(A) Immunomodulatory
CNNM3	2q11.2	0.13	0.25	0.23	0.31	-0.12	0.368	0.711	(B) Mesenchymal
STPG4	2p21	0.18	0.39	0.26	0.53	-0.21	0.368	0.711	(B) Mesenchymal
POLR2C	16q21	0.32	0.17	0.37	0.25	0.14	0.368	0.711	(A) Immunomodulatory
OTUD6B-AS1	8q21.3	0.25	0.43	0.26	0.50	-0.18	0.368	0.711	(B) Mesenchymal
HSPA4	5q31.1	0.17	0.32	0.19	0.41	-0.14	0.368	0.711	(B) Mesenchymal
CD5L	1q23.1	0.58	1.08	0.55	0.89	-0.50	0.368	0.711	(B) Mesenchymal
ELP5	17p13.1	0.27	0.15	0.26	0.28	0.12	0.368	0.711	(A) Immunomodulatory
CR1L	1q32.2	0.70	0.36	0.81	0.48	0.34	0.368	0.711	(A) Immunomodulatory
DDO	6q21	0.44	0.21	0.36	0.63	0.23	0.368	0.711	(A) Immunomodulatory
HYAL4	7q31.32	0.80	0.38	0.68	0.68	0.41	0.368	0.711	(A) Immunomodulatory
NAV3	12q21.2	0.29	0.13	0.28	0.40	0.15	0.368	0.711	(A) Immunomodulatory
HCFC2	12q23.3	0.19	0.33	0.26	0.36	-0.14	0.368	0.711	(B) Mesenchymal
C1ORF220	1q25.2	0.09	0.19	0.17	0.29	-0.11	0.368	0.711	(B) Mesenchymal
POLDIP2	17q11.2	0.13	0.26	0.19	0.35	-0.12	0.368	0.711	(B) Mesenchymal
BANP	16q24.2	0.05	0.12	0.09	0.23	-0.08	0.368	0.711	(B) Mesenchymal
DGKG	3q27.2-q27.3	0.52	0.32	0.46	0.40	0.20	0.368	0.711	(A) Immunomodulatory
PELO	5q11.2	0.15	0.29	0.20	0.41	-0.14	0.368	0.711	(B) Mesenchymal
PSMG3-AS1	7p22.3	0.08	0.02	0.18	0.05	0.06	0.368	0.711	(A) Immunomodulatory
LMOD3	3p14.1	0.20	0.60	0.41	1.01	-0.40	0.368	0.711	(B) Mesenchymal
GHET1	7q36.1	0.16	0.37	0.40	0.53	-0.21	0.368	0.711	(B) Mesenchymal
MTA2	11q12.3	0.20	0.34	0.22	0.40	-0.14	0.368	0.711	(B) Mesenchymal
ZDHHC5	11q12.1	0.13	0.27	0.17	0.41	-0.14	0.368	0.711	(B) Mesenchymal
TECPR2	14q32.33	0.06	0.15	0.16	0.25	-0.09	0.368	0.711	(B) Mesenchymal
GEMIN4	17p13.3	0.17	0.34	0.33	0.40	-0.16	0.368	0.711	(B) Mesenchymal
RHBDL3	17q11.2	0.59	0.34	0.39	0.65	0.24	0.368	0.711	(A) Immunomodulatory
TSHZ1	18q22.3	0.24	0.41	0.29	0.48	-0.18	0.368	0.711	(B) Mesenchymal
RIMBP2	12q24.33	0.20	0.53	0.28	0.93	-0.33	0.369	0.711	(B) Mesenchymal
TBC1D2B	15q24.3-q25.1	0.26	0.12	0.36	0.22	0.14	0.369	0.711	(A) Immunomodulatory
LINC00467	1q32.3	0.36	0.19	0.43	0.30	0.17	0.369	0.711	(A) Immunomodulatory
MRPL22	5q33.2	0.32	0.17	0.35	0.33	0.15	0.369	0.711	(A) Immunomodulatory
PKN3	9q34.11	0.02	0.13	0.06	0.34	-0.11	0.369	0.711	(B) Mesenchymal
ZIM2	19q13.43	0.66	1.13	0.76	0.85	-0.48	0.369	0.711	(B) Mesenchymal
CTDSP2	12q14.1	0.24	0.11	0.32	0.21	0.12	0.369	0.711	(A) Immunomodulatory
RCN3	19q13.33	0.26	0.50	0.37	0.64	-0.23	0.369	0.711	(B) Mesenchymal
UBA52	19p13.1-p12	0.39	0.23	0.40	0.28	0.16	0.369	0.711	(A) Immunomodulatory
NEUROG2	4q25	0.80	0.27	1.14	0.54	0.53	0.369	0.711	(A) Immunomodulatory
CCNYL1	2q33.3	0.17	0.08	0.24	0.15	0.09	0.369	0.711	(A) Immunomodulatory
TTC28	22q12.1	0.18	0.38	0.24	0.59	-0.20	0.369	0.711	(B) Mesenchymal
GEN1	2p24.2	0.28	0.47	0.47	0.33	-0.19	0.369	0.712	(B) Mesenchymal
FMR1-AS1	Xq27.3	0.33	0.58	0.44	0.60	-0.25	0.369	0.712	(B) Mesenchymal
TEX22	14q32.33	0.26	0.46	0.40	0.48	-0.20	0.369	0.712	(B) Mesenchymal
SMAD9	13q13.3	0.21	0.37	0.34	0.39	-0.16	0.369	0.712	(B) Mesenchymal
ODAM	4q13.3	0.85	1.57	0.99	1.56	-0.72	0.369	0.712	(B) Mesenchymal
PIK3CD-AS2	1p36.22	0.17	0.39	0.41	0.57	-0.22	0.369	0.712	(B) Mesenchymal
WDFY2	13q14.3	0.14	0.34	0.30	0.58	-0.21	0.369	0.712	(B) Mesenchymal
WNT10B	12q13.12	0.73	0.44	0.62	0.69	0.29	0.370	0.712	(A) Immunomodulatory
PGBD3	10q11	0.31	0.48	0.34	0.44	-0.18	0.370	0.712	(B) Mesenchymal
XKR3	22q11.1	0.32	1.13	0.33	1.22	-0.81	0.370	0.712	(B) Mesenchymal
MGRN1	16p13.3	0.02	0.13	0.06	0.34	-0.11	0.370	0.712	(B) Mesenchymal
TSPYL1	6q22.1	0.37	0.20	0.28	0.48	0.17	0.370	0.712	(A) Immunomodulatory
RBM39	20q11.22	0.19	0.10	0.24	0.12	0.09	0.370	0.712	(A) Immunomodulatory
VPS16	20p13	0.14	0.28	0.29	0.34	-0.14	0.370	0.712	(B) Mesenchymal
GMDS	6p25.3	0.36	0.61	0.37	0.72	-0.25	0.370	0.712	(B) Mesenchymal
STYXL2	1q24.1	0.45	0.93	0.72	1.22	-0.49	0.370	0.712	(B) Mesenchymal
DMRTC1	Xq13.1	0.20	0.45	0.47	0.65	-0.25	0.370	0.712	(B) Mesenchymal
PER3	1p36.23	0.12	0.27	0.22	0.43	-0.15	0.370	0.712	(B) Mesenchymal
COX6C	8q22.2	0.31	0.55	0.35	0.69	-0.24	0.370	0.712	(B) Mesenchymal
UNC79	14q32.12	0.39	0.19	0.51	0.31	0.19	0.370	0.712	(A) Immunomodulatory
KDM2B	12q24.31	0.31	0.50	0.28	0.51	-0.18	0.370	0.713	(B) Mesenchymal
TG	8q24.22	0.08	0.20	0.17	0.33	-0.12	0.370	0.713	(B) Mesenchymal
NEDD1	12q23.1	0.18	0.34	0.26	0.42	-0.15	0.370	0.713	(B) Mesenchymal
SMARCC1	3p21.31	0.27	0.41	0.26	0.38	-0.15	0.371	0.713	(B) Mesenchymal
PKD2	4q22.1	0.11	0.22	0.16	0.31	-0.11	0.371	0.713	(B) Mesenchymal
ARHGEF35-AS1	7q35	0.33	0.16	0.37	0.28	0.16	0.371	0.713	(A) Immunomodulatory
TBC1D2	9q22.33	0.11	0.00	0.31	0.01	0.10	0.371	0.713	(A) Immunomodulatory
ZCRB1	12q12	0.35	0.19	0.35	0.32	0.15	0.371	0.713	(A) Immunomodulatory
BCO1	16q23.2	0.43	0.22	0.48	0.37	0.21	0.371	0.713	(A) Immunomodulatory
CPPED1	16p13.12	0.14	0.06	0.23	0.13	0.08	0.371	0.713	(A) Immunomodulatory
IMPDH1	7q32.1	0.22	0.42	0.38	0.53	-0.21	0.371	0.714	(B) Mesenchymal
SGSM3	22q13.1	0.09	0.18	0.14	0.24	-0.09	0.371	0.714	(B) Mesenchymal
ARHGAP26	5q31.3	0.20	0.09	0.28	0.18	0.11	0.371	0.714	(A) Immunomodulatory
DMRTC1B	Xq13.1	0.20	0.46	0.47	0.65	-0.25	0.371	0.714	(B) Mesenchymal
ZAN	7q22.1	0.14	0.73	0.20	0.89	-0.59	0.372	0.714	(B) Mesenchymal
ABHD17C	15q25.1	0.19	0.39	0.48	0.42	-0.20	0.372	0.714	(B) Mesenchymal
MAP3K1	5q11.2	0.25	0.11	0.34	0.29	0.14	0.372	0.714	(A) Immunomodulatory
NAT2	8p22	0.19	0.42	0.35	0.57	-0.22	0.372	0.714	(B) Mesenchymal
HINT3	6q22.32	0.23	0.44	0.44	0.49	-0.21	0.372	0.714	(B) Mesenchymal
AHCY	20q11.22	0.16	0.30	0.30	0.34	-0.14	0.372	0.714	(B) Mesenchymal
CHEK1	11q24.2	0.15	0.34	0.20	0.57	-0.19	0.372	0.714	(B) Mesenchymal
CYB561A3	11q12.2	0.21	0.12	0.22	0.19	0.09	0.372	0.714	(A) Immunomodulatory
KLF12	13q22.1	0.42	0.18	0.51	0.55	0.24	0.372	0.714	(A) Immunomodulatory
ISLR	15q24.1	0.33	0.61	0.54	0.68	-0.27	0.372	0.714	(B) Mesenchymal
NPIPB6	16p12.1	0.53	0.25	0.76	0.43	0.28	0.372	0.714	(A) Immunomodulatory
ACTR8	3p21.1	0.09	0.18	0.15	0.23	-0.09	0.372	0.714	(B) Mesenchymal
CROCCP3	1p36.13	0.16	0.29	0.24	0.36	-0.13	0.372	0.714	(B) Mesenchymal
NANOS1	10q26.11	0.34	0.68	0.68	0.83	-0.34	0.372	0.714	(B) Mesenchymal
SAPCD2	9q34.3	0.33	0.56	0.45	0.59	-0.23	0.372	0.714	(B) Mesenchymal
USE1	19p13.11	0.45	0.28	0.39	0.35	0.17	0.373	0.715	(A) Immunomodulatory
FN3KRP	17q25.3	0.32	0.55	0.40	0.61	-0.23	0.373	0.715	(B) Mesenchymal
EFCAB14	1p33	0.02	0.06	0.06	0.09	-0.03	0.373	0.715	(B) Mesenchymal
NAB2	12q13.3	0.26	0.43	0.35	0.42	-0.17	0.373	0.715	(B) Mesenchymal
CATSPERZ	11q13.1	0.33	0.70	0.65	0.63	-0.36	0.373	0.715	(B) Mesenchymal
ELOVL3	10q24.32	0.40	0.74	0.46	0.99	-0.34	0.373	0.715	(B) Mesenchymal
SMUG1	12q13.13	0.26	0.12	0.40	0.18	0.14	0.373	0.715	(A) Immunomodulatory
WSB1	17q11.1	0.22	0.09	0.31	0.28	0.13	0.373	0.715	(A) Immunomodulatory
CNDP1	18q22.3	0.39	0.19	0.40	0.37	0.20	0.373	0.715	(A) Immunomodulatory
TENT4B	16q12.1	0.34	0.19	0.38	0.27	0.15	0.373	0.715	(A) Immunomodulatory
SEL1L2	20p12.1	0.86	0.36	0.41	0.51	0.50	0.373	0.715	(A) Immunomodulatory
TMEM38A	19p13.11	0.39	0.20	0.47	0.35	0.19	0.373	0.715	(A) Immunomodulatory
UGT8	4q26	0.49	0.77	0.68	0.57	-0.28	0.373	0.715	(B) Mesenchymal
NDUFB3	2q33.1	0.25	0.42	0.30	0.45	-0.17	0.374	0.715	(B) Mesenchymal
CDK5RAP3	17q21.32	0.13	0.22	0.21	0.18	-0.09	0.374	0.715	(B) Mesenchymal
HIGD1A	3p22.1	0.13	0.29	0.28	0.42	-0.16	0.374	0.715	(B) Mesenchymal
RAMP2-AS1	17q21.2	0.23	0.47	0.41	0.65	-0.24	0.374	0.715	(B) Mesenchymal
CPA6	8q13.2	0.46	0.22	0.62	0.27	0.24	0.374	0.715	(A) Immunomodulatory
BOLA2	16p11.2	0.57	0.36	0.51	0.39	0.21	0.374	0.715	(A) Immunomodulatory
RD3	1q32.3	0.29	0.71	0.47	0.61	-0.41	0.374	0.715	(B) Mesenchymal
TRPM1	15q13.3	0.20	0.02	0.27	0.03	0.18	0.374	0.715	(A) Immunomodulatory
ZDHHC16	10q24.1	0.16	0.33	0.22	0.47	-0.16	0.374	0.715	(B) Mesenchymal
PWP1	12q23.3	0.20	0.34	0.21	0.40	-0.14	0.374	0.715	(B) Mesenchymal
RPS26P11	Xq13.1	0.54	0.31	0.52	0.50	0.23	0.374	0.715	(A) Immunomodulatory
ALG10	12p11.1	0.13	0.29	0.25	0.47	-0.17	0.374	0.715	(B) Mesenchymal
CAMKMT	2p21	0.15	0.32	0.26	0.47	-0.17	0.374	0.715	(B) Mesenchymal
CKMT2	5q14.1	0.24	0.45	0.34	0.59	-0.21	0.374	0.715	(B) Mesenchymal
TRAPPC6A	19q13.32	0.15	0.30	0.29	0.37	-0.15	0.374	0.715	(B) Mesenchymal
C11ORF16	11p15.4	0.91	0.52	0.71	0.70	0.39	0.374	0.715	(A) Immunomodulatory
FNIP2	4q32.1	0.18	0.08	0.27	0.17	0.10	0.374	0.715	(A) Immunomodulatory
PWAR5	15q11.2	0.23	0.44	0.33	0.60	-0.21	0.374	0.715	(B) Mesenchymal
LSM7	19p13.3	0.26	0.42	0.38	0.35	-0.16	0.374	0.715	(B) Mesenchymal
AMFR	16q13	0.24	0.13	0.27	0.26	0.12	0.374	0.715	(A) Immunomodulatory
MED8	1p34.2	0.20	0.33	0.26	0.31	-0.13	0.374	0.715	(B) Mesenchymal
MTMR3	22q12.2	0.03	0.11	0.10	0.22	-0.08	0.374	0.715	(B) Mesenchymal
DCUN1D4	4q12	0.10	0.22	0.17	0.36	-0.12	0.374	0.715	(B) Mesenchymal
NIPSNAP1	22q12.2	0.30	0.15	0.41	0.22	0.15	0.374	0.715	(A) Immunomodulatory
PFDN4	20q13.2	0.31	0.18	0.35	0.23	0.13	0.374	0.715	(A) Immunomodulatory
ABL1	9q34.12	0.10	0.20	0.19	0.27	-0.10	0.374	0.716	(B) Mesenchymal
ATP6V0B	1p34.1	0.15	0.26	0.23	0.28	-0.11	0.375	0.716	(B) Mesenchymal
CKM	19q13.32	0.24	0.51	0.46	0.68	-0.27	0.375	0.716	(B) Mesenchymal
CER1	9p22.3	0.03	0.33	0.06	0.45	-0.29	0.375	0.716	(B) Mesenchymal
CORO2B	15q23	0.28	0.44	0.28	0.45	-0.17	0.375	0.716	(B) Mesenchymal
SCAMP1-AS1	5q14.1	0.40	0.20	0.35	0.54	0.20	0.375	0.716	(A) Immunomodulatory
VMA12	17q11.2	0.22	0.13	0.20	0.20	0.09	0.375	0.716	(A) Immunomodulatory
DOCK9	13q32.3	0.14	0.30	0.21	0.49	-0.16	0.375	0.716	(B) Mesenchymal
PIGG	4p16.3	0.09	0.19	0.15	0.26	-0.09	0.375	0.716	(B) Mesenchymal
GBX2	2q37.2	0.59	1.07	0.68	1.02	-0.48	0.375	0.716	(B) Mesenchymal
INTS4P2	7q11.21	0.23	0.50	0.56	0.50	-0.27	0.375	0.716	(B) Mesenchymal
RBM4	11q13.2	0.14	0.25	0.26	0.22	-0.11	0.375	0.716	(B) Mesenchymal
NUDT21	16q13	0.36	0.23	0.30	0.31	0.14	0.375	0.716	(A) Immunomodulatory
PTN	7q33	0.62	0.93	0.34	0.93	-0.31	0.375	0.716	(B) Mesenchymal
ZDHHC7	16q24.1	0.07	0.19	0.14	0.33	-0.11	0.375	0.716	(B) Mesenchymal
AGA	4q34.3	0.47	0.26	0.45	0.51	0.21	0.375	0.716	(A) Immunomodulatory
GPBP1	5q11.2	0.23	0.14	0.15	0.25	0.09	0.375	0.716	(A) Immunomodulatory
GLB1	3p22.3	0.11	0.28	0.30	0.46	-0.17	0.375	0.716	(B) Mesenchymal
SLC5A7	2q12.3	0.08	0.74	0.09	1.26	-0.66	0.376	0.716	(B) Mesenchymal
INHBE	12q13.3	0.78	0.31	1.01	0.52	0.47	0.376	0.716	(A) Immunomodulatory
GATA2-AS1	3q21.3	0.33	0.14	0.49	0.29	0.18	0.376	0.716	(A) Immunomodulatory
MST1R	3p21.31	0.12	0.28	0.30	0.42	-0.16	0.376	0.716	(B) Mesenchymal
DRC2	12q13.12	0.39	0.24	0.24	0.44	0.15	0.376	0.716	(A) Immunomodulatory
ANKRD13D	11q13.2	0.09	0.22	0.12	0.42	-0.14	0.376	0.716	(B) Mesenchymal
ATXN1	6p22.3	0.13	0.26	0.23	0.37	-0.14	0.376	0.716	(B) Mesenchymal
DPRXP4	17q11.2	0.40	0.21	0.42	0.40	0.19	0.376	0.716	(A) Immunomodulatory
CDKL2	4q21.1	0.42	0.73	0.55	0.85	-0.31	0.376	0.716	(B) Mesenchymal
IBTK	6q14.1	0.15	0.30	0.21	0.43	-0.15	0.376	0.717	(B) Mesenchymal
LINC01143	2p13.3	0.22	0.43	0.34	0.52	-0.21	0.376	0.717	(B) Mesenchymal
KCNS2	8q22.2	0.22	0.41	0.35	0.44	-0.19	0.376	0.717	(B) Mesenchymal
TSR1	17p13.3	0.14	0.30	0.20	0.44	-0.15	0.376	0.717	(B) Mesenchymal
WASH8P	12p13.33	0.14	0.26	0.27	0.29	-0.12	0.376	0.717	(B) Mesenchymal
RRM1	11p15.4	0.12	0.31	0.16	0.59	-0.19	0.376	0.717	(B) Mesenchymal
ALMS1	2p13.1	0.08	0.18	0.23	0.22	-0.10	0.376	0.717	(B) Mesenchymal
DPH3P1	20q13.33	0.35	0.54	0.46	0.43	-0.20	0.376	0.717	(B) Mesenchymal
LURAP1	1p34.1	0.07	0.17	0.17	0.26	-0.10	0.376	0.717	(B) Mesenchymal
GTF3C2	2p23.3	0.19	0.34	0.39	0.29	-0.15	0.376	0.717	(B) Mesenchymal
FAM98C	19q13.2	0.22	0.11	0.31	0.20	0.12	0.376	0.717	(A) Immunomodulatory
KLHDC2	14q21.3	0.27	0.13	0.27	0.38	0.14	0.376	0.717	(A) Immunomodulatory
TF	3q22.1	0.62	1.05	0.87	1.07	-0.43	0.376	0.717	(B) Mesenchymal
DCST1-AS1	1q21.3	0.34	0.55	0.48	0.46	-0.21	0.377	0.717	(B) Mesenchymal
FNDC3A	13q14.2	0.29	0.15	0.31	0.30	0.14	0.377	0.717	(A) Immunomodulatory
ABHD13	13q33.3	0.28	0.17	0.28	0.23	0.11	0.377	0.717	(A) Immunomodulatory
SLC30A1	1q32.3	0.15	0.32	0.35	0.39	-0.16	0.377	0.717	(B) Mesenchymal
IGSF5	21q22.2	0.56	0.30	0.49	0.61	0.26	0.377	0.717	(A) Immunomodulatory
CADM3-AS1	1q23.2	0.70	0.40	0.76	0.56	0.30	0.377	0.717	(A) Immunomodulatory
SPACA9	9q34.13	0.07	0.16	0.18	0.24	-0.09	0.377	0.717	(B) Mesenchymal
SLC23A1	5q31.2	0.33	0.16	0.48	0.24	0.17	0.377	0.718	(A) Immunomodulatory
CSMD3	8q23.3	0.54	1.51	1.07	1.01	-0.98	0.377	0.718	(B) Mesenchymal
PRNCR1	8q24.21	0.41	0.65	0.41	0.64	-0.23	0.377	0.718	(B) Mesenchymal
MLX	17q21.2	0.27	0.13	0.30	0.31	0.13	0.377	0.718	(A) Immunomodulatory
PAX8	2q14.1	0.28	0.54	0.51	0.67	-0.26	0.378	0.718	(B) Mesenchymal
KCTD17	22q12.3	0.42	0.27	0.37	0.33	0.15	0.378	0.718	(A) Immunomodulatory
TFF3	21q22.3	0.99	0.61	0.72	0.94	0.38	0.378	0.718	(A) Immunomodulatory
SF3A2	19p13.3	0.17	0.34	0.20	0.51	-0.17	0.378	0.718	(B) Mesenchymal
FNDC11	20q13.33	0.16	0.34	0.34	0.38	-0.19	0.378	0.718	(B) Mesenchymal
BCL2L2	14q11.2	0.09	0.24	0.26	0.39	-0.14	0.378	0.718	(B) Mesenchymal
PAXBP1-AS1	21q22.11	0.14	0.27	0.24	0.33	-0.13	0.378	0.718	(B) Mesenchymal
WNT16	7q31.31	0.52	0.28	0.55	0.47	0.24	0.378	0.718	(A) Immunomodulatory
C5ORF22	5p13.3	0.16	0.32	0.27	0.44	-0.16	0.378	0.718	(B) Mesenchymal
FAM171B	2q32.1	0.21	0.39	0.36	0.46	-0.18	0.378	0.719	(B) Mesenchymal
PWWP2B	10q26.3	0.17	0.34	0.36	0.40	-0.17	0.378	0.719	(B) Mesenchymal
CEP97	3q12.3	0.22	0.43	0.38	0.54	-0.20	0.378	0.719	(B) Mesenchymal
ANO6	12q12	0.05	0.15	0.10	0.28	-0.09	0.378	0.719	(B) Mesenchymal
CSN3	4q13.3	1.47	2.33	1.43	1.50	-0.86	0.379	0.719	(B) Mesenchymal
HNRNPM	19p13.2	0.33	0.20	0.32	0.25	0.13	0.379	0.719	(A) Immunomodulatory
SEPTIN4	17q22	0.10	0.24	0.23	0.39	-0.14	0.379	0.719	(B) Mesenchymal
ANGPTL7	1p36.22	1.00	0.66	0.42	0.83	0.34	0.379	0.719	(A) Immunomodulatory
GSDMB	17q21.1	0.31	0.16	0.37	0.27	0.14	0.379	0.719	(A) Immunomodulatory
CDC42SE1	1q21.3	0.44	0.28	0.32	0.38	0.15	0.379	0.719	(A) Immunomodulatory
TOMM34	20q13.12	0.21	0.37	0.34	0.38	-0.16	0.379	0.719	(B) Mesenchymal
MRGPRF	11q13.3	0.25	0.12	0.34	0.19	0.13	0.379	0.719	(A) Immunomodulatory
MSTN	2q32.2	0.08	0.25	0.15	0.53	-0.17	0.379	0.720	(B) Mesenchymal
U2AF2	19q13.42	0.20	0.36	0.24	0.45	-0.16	0.379	0.720	(B) Mesenchymal
CEP85	1p36.11	0.14	0.30	0.32	0.39	-0.16	0.379	0.720	(B) Mesenchymal
DMXL2	15q21.2	0.27	0.12	0.41	0.20	0.15	0.380	0.720	(A) Immunomodulatory
TMEM147	19q13.12	0.32	0.53	0.49	0.45	-0.21	0.380	0.720	(B) Mesenchymal
