Gene	Cytoband	(A) BRCA_Basal	(B) BRCA_Normal	(A) BRCA_Basal	(B) BRCA_Normal	Log2 Ratio	p-Value	q-Value	Higher expression in
PLCB2	15q15.1	8.01	8.50	1.05	1.02	-0.49	0.0122	0.0253	(B) BRCA_Normal
ATP12A	13q12.12	1.64	1.10	1.74	0.99	0.54	0.0122	0.0253	(A) BRCA_Basal
TOP3A	17p11.2	8.95	8.79	0.53	0.30	0.16	0.0122	0.0253	(A) BRCA_Basal
ZNF324	19q13.43	7.43	7.66	0.64	0.44	-0.23	0.0122	0.0253	(B) BRCA_Normal
AMOTL2	3q22.2	10.31	10.66	0.88	0.69	-0.35	0.0122	0.0253	(B) BRCA_Normal
TMEM244	6q22.33	0.27	0.63	0.49	0.78	-0.35	0.0122	0.0253	(B) BRCA_Normal
DR1	1p22.1	10.40	10.20	0.54	0.40	0.20	0.0122	0.0254	(A) BRCA_Basal
AOPEP	9q22.32	8.05	8.43	1.04	0.76	-0.38	0.0122	0.0254	(B) BRCA_Normal
NDP	Xp11.3	4.26	5.03	2.04	1.55	-0.78	0.0123	0.0254	(B) BRCA_Normal
EIF1	17q21.2	13.14	13.31	0.44	0.32	-0.16	0.0123	0.0254	(B) BRCA_Normal
BMP2K	4q21.21	8.15	8.60	0.93	0.96	-0.46	0.0123	0.0254	(B) BRCA_Normal
ZMYM4	1p34.3	10.87	10.61	0.69	0.53	0.27	0.0123	0.0254	(A) BRCA_Basal
ART1	11p15.4	0.20	0.60	0.49	0.90	-0.41	0.0123	0.0255	(B) BRCA_Normal
KCNC4	1p13.3	7.63	7.94	0.88	0.61	-0.31	0.0123	0.0255	(B) BRCA_Normal
NAA10	Xq28	10.21	9.87	0.75	0.71	0.34	0.0123	0.0255	(A) BRCA_Basal
FAM200C	5q33.3	6.98	6.69	0.74	0.59	0.29	0.0123	0.0255	(A) BRCA_Basal
GGT7	20q11.22	7.97	8.40	1.17	0.85	-0.43	0.0123	0.0255	(B) BRCA_Normal
NACA4P	8q22.3	6.81	7.16	0.72	0.72	-0.34	0.0123	0.0255	(B) BRCA_Normal
TNFSF8	9q32-q33.1	5.01	5.63	1.33	1.31	-0.62	0.0123	0.0256	(B) BRCA_Normal
RPL22L1	3q26.2	9.38	9.05	1.10	0.60	0.33	0.0124	0.0256	(A) BRCA_Basal
C9ORF50	9q34.11	0.98	1.45	1.02	0.98	-0.47	0.0124	0.0256	(B) BRCA_Normal
ULK1	12q24.33	10.00	10.22	0.60	0.43	-0.22	0.0124	0.0256	(B) BRCA_Normal
CD3E	11q23.3	7.91	8.67	2.04	1.51	-0.76	0.0124	0.0256	(B) BRCA_Normal
GMCL1	2p13.3	8.41	8.05	0.74	0.75	0.36	0.0124	0.0256	(A) BRCA_Basal
IL27	16p12.1-p11.2	2.05	1.60	1.18	0.91	0.45	0.0124	0.0256	(A) BRCA_Basal
TMEM259	19p13.3	10.44	10.80	0.71	0.75	-0.35	0.0124	0.0256	(B) BRCA_Normal
ANKRD20A11P	21q11.2	0.88	1.25	0.73	0.79	-0.37	0.0124	0.0256	(B) BRCA_Normal
RORB	9q21.13	1.82	2.41	1.39	1.21	-0.59	0.0124	0.0256	(B) BRCA_Normal
KRT6C	12q13.13	6.30	5.21	3.06	2.12	1.09	0.0124	0.0256	(A) BRCA_Basal
GJA3	13q12.11	2.45	1.79	1.52	1.35	0.66	0.0124	0.0256	(A) BRCA_Basal
CD101	1p13.1	5.53	5.87	1.06	0.64	-0.34	0.0124	0.0256	(B) BRCA_Normal
NAXD	13q34	9.83	10.08	0.72	0.49	-0.25	0.0124	0.0257	(B) BRCA_Normal
CDC42EP4	17q25.1	11.24	10.90	1.11	0.61	0.34	0.0124	0.0257	(A) BRCA_Basal
ABO	9q34.2	2.64	3.42	1.91	1.60	-0.78	0.0124	0.0257	(B) BRCA_Normal
CEP41	7q32.2	8.22	8.01	0.63	0.39	0.21	0.0125	0.0257	(A) BRCA_Basal
PSMC1	14q32.11	9.36	9.12	0.56	0.49	0.24	0.0125	0.0258	(A) BRCA_Basal
DMRTC2	19q13.2	0.47	1.14	1.06	1.46	-0.67	0.0125	0.0258	(B) BRCA_Normal
IKZF5	10q26.13	8.64	8.93	0.65	0.58	-0.28	0.0125	0.0258	(B) BRCA_Normal
SELENBP1	1q21.3	10.18	10.64	1.40	0.88	-0.46	0.0125	0.0258	(B) BRCA_Normal
METAP2	12q22	10.81	10.65	0.46	0.29	0.15	0.0125	0.0258	(A) BRCA_Basal
POC1B	12q21.33	8.28	8.50	0.63	0.43	-0.22	0.0125	0.0258	(B) BRCA_Normal
GTF2A1L	2p16.3	1.81	1.23	1.55	1.15	0.58	0.0125	0.0258	(A) BRCA_Basal
PRSS55	8p23.1	0.51	0.25	0.84	0.47	0.26	0.0125	0.0258	(A) BRCA_Basal
IDI2	10p15.3	6.46	6.18	0.82	0.54	0.28	0.0125	0.0258	(A) BRCA_Basal
RBAKDN	7p22.1	2.68	2.10	1.75	1.10	0.58	0.0125	0.0258	(A) BRCA_Basal
ISX	22q12.3	0.15	1.35	0.64	2.72	-1.20	0.0125	0.0258	(B) BRCA_Normal
GFOD1	6p24.1-p23	4.12	3.72	1.14	0.77	0.40	0.0125	0.0259	(A) BRCA_Basal
AQP10	1q21.3	0.14	0.69	0.48	1.24	-0.55	0.0125	0.0259	(B) BRCA_Normal
DGKZ	11p11.2	10.18	9.86	0.69	0.66	0.31	0.0125	0.0259	(A) BRCA_Basal
CD300E	17q25.1	2.22	1.62	1.56	1.21	0.60	0.0126	0.0259	(A) BRCA_Basal
KEAP1	19p13.2	10.71	10.45	0.62	0.53	0.26	0.0126	0.0259	(A) BRCA_Basal
LMLN	3q29	7.81	8.06	0.78	0.47	-0.25	0.0126	0.0260	(B) BRCA_Normal
ZNF137P	19q13.41	5.92	6.18	0.72	0.50	-0.25	0.0126	0.0260	(B) BRCA_Normal
COX19	7p22.3	8.20	7.95	0.61	0.51	0.25	0.0126	0.0260	(A) BRCA_Basal
SLC26A4	7q22.3	3.65	4.49	1.93	1.76	-0.85	0.0126	0.0260	(B) BRCA_Normal
MTIF3	13q12.2	9.19	9.41	0.61	0.42	-0.22	0.0126	0.0260	(B) BRCA_Normal
EOLA2-DT	Xq28	4.00	4.46	0.99	0.96	-0.46	0.0126	0.0260	(B) BRCA_Normal
PPDPF	20q13.33	11.68	12.09	0.89	0.85	-0.40	0.0126	0.0261	(B) BRCA_Normal
B3GLCT	13q12.3	7.82	8.13	0.80	0.62	-0.31	0.0126	0.0261	(B) BRCA_Normal
ANKIB1	7q21.2	10.61	10.35	0.60	0.55	0.26	0.0126	0.0261	(A) BRCA_Basal
SEL1L2	20p12.1	0.23	0.74	0.46	1.16	-0.51	0.0127	0.0261	(B) BRCA_Normal
HAPLN2	1q23.1	0.64	1.14	0.84	1.08	-0.49	0.0127	0.0261	(B) BRCA_Normal
XKR3	22q11.1	0.76	0.42	1.01	0.65	0.34	0.0127	0.0261	(A) BRCA_Basal
SKI	1p36.33-p36.32	11.11	11.33	0.62	0.45	-0.23	0.0127	0.0261	(B) BRCA_Normal
C1ORF162	1p13.2	7.71	8.19	1.04	1.02	-0.48	0.0127	0.0261	(B) BRCA_Normal
DCT	13q32.1	0.96	1.87	1.14	2.03	-0.91	0.0127	0.0262	(B) BRCA_Normal
H2AC7	6p22.2	1.95	1.41	1.13	1.15	0.54	0.0127	0.0262	(A) BRCA_Basal
G3BP1	5q33.1	11.36	11.15	0.51	0.44	0.21	0.0127	0.0262	(A) BRCA_Basal
SERTAD4	1q32.2	8.25	7.69	1.69	1.09	0.57	0.0127	0.0262	(A) BRCA_Basal
GPR15	3q11.2	1.48	2.26	1.48	1.68	-0.78	0.0127	0.0262	(B) BRCA_Normal
TRHDE-AS1	12q21.1	1.28	2.16	1.56	1.89	-0.88	0.0127	0.0262	(B) BRCA_Normal
RSPH6A	19q13.3	0.57	0.33	0.73	0.47	0.25	0.0127	0.0262	(A) BRCA_Basal
TM4SF18	3q25.1	7.18	7.68	1.47	0.95	-0.50	0.0127	0.0262	(B) BRCA_Normal
CMIP	16q23.2-q23.3	10.24	10.47	0.58	0.47	-0.23	0.0128	0.0262	(B) BRCA_Normal
MTG2	20q13.33	9.10	8.87	0.60	0.47	0.23	0.0128	0.0263	(A) BRCA_Basal
PAFAH1B3	19q13.1	9.89	9.39	0.88	1.09	0.50	0.0128	0.0263	(A) BRCA_Basal
TRAF4	17q11.2	10.83	10.48	0.79	0.73	0.35	0.0128	0.0264	(A) BRCA_Basal
PANK4	1p36.32	8.32	8.53	0.60	0.41	-0.21	0.0128	0.0264	(B) BRCA_Normal
BOK	2q37.3	9.45	9.80	1.10	0.63	-0.34	0.0128	0.0264	(B) BRCA_Normal
HMX1	4p16.1	0.68	1.31	1.19	1.34	-0.63	0.0128	0.0264	(B) BRCA_Normal
RASSF9	12q21.31	4.89	5.43	1.54	1.06	-0.54	0.0129	0.0264	(B) BRCA_Normal
DAB1	1p32.2	1.00	1.51	1.15	1.06	-0.51	0.0129	0.0264	(B) BRCA_Normal
MS4A3	11q12.1	0.13	0.44	0.33	0.71	-0.32	0.0129	0.0264	(B) BRCA_Normal
RRS1	8q13.1	9.59	9.16	0.85	0.91	0.43	0.0129	0.0265	(A) BRCA_Basal
POLR2E	19p13.3	10.77	11.05	0.69	0.59	-0.29	0.0129	0.0265	(B) BRCA_Normal
SLC44A2	19p13.2	12.76	12.49	0.84	0.51	0.27	0.0129	0.0265	(A) BRCA_Basal
SLC35F4	14q22.3-q23.1	0.36	0.67	0.73	0.64	-0.31	0.0129	0.0265	(B) BRCA_Normal
MFF	2q36.3	10.27	10.13	0.49	0.23	0.14	0.0129	0.0266	(A) BRCA_Basal
PRKRA	2q31.2	10.06	9.90	0.41	0.33	0.16	0.0129	0.0266	(A) BRCA_Basal
NIPAL4	5q33.3	4.66	3.67	2.13	2.08	0.99	0.0130	0.0266	(A) BRCA_Basal
CREBBP	16p13.3	11.06	11.28	0.70	0.42	-0.22	0.0130	0.0266	(B) BRCA_Normal
DDAH1	1p22.3	9.93	10.31	1.18	0.71	-0.38	0.0130	0.0267	(B) BRCA_Normal
TMEM230	20p13-p12.3	10.94	11.16	0.51	0.45	-0.22	0.0130	0.0267	(B) BRCA_Normal
SLC39A13	11p11.2	9.67	9.96	0.75	0.59	-0.29	0.0130	0.0267	(B) BRCA_Normal
SAA1	11p15.1	9.12	10.08	2.39	1.97	-0.96	0.0130	0.0267	(B) BRCA_Normal
IER5	1q25.3	9.69	10.02	0.91	0.66	-0.33	0.0130	0.0268	(B) BRCA_Normal
NKX2-6	8p21.2	0.12	0.01	0.50	0.08	0.10	0.0130	0.0268	(A) BRCA_Basal
RPAP2	1p22.1	8.29	8.07	0.55	0.44	0.22	0.0131	0.0268	(A) BRCA_Basal
DYRK4	12p13.32	8.68	8.42	0.95	0.44	0.26	0.0131	0.0268	(A) BRCA_Basal
ALS2CL	3p21.31	7.32	7.83	1.50	0.97	-0.51	0.0131	0.0268	(B) BRCA_Normal
UBE2D2	5q31.2	10.82	10.70	0.43	0.21	0.12	0.0131	0.0269	(A) BRCA_Basal
HCST	19q13.12	6.99	7.62	1.32	1.35	-0.63	0.0131	0.0269	(B) BRCA_Normal
KDELR2	7p22.1	12.86	12.62	0.53	0.50	0.24	0.0131	0.0269	(A) BRCA_Basal
ZCCHC17	1p35.2	9.77	9.58	0.53	0.38	0.19	0.0131	0.0269	(A) BRCA_Basal
SACM1L	3p21.31	9.64	9.86	0.51	0.45	-0.22	0.0131	0.0269	(B) BRCA_Normal
PTPN9	15q24.2	9.95	10.13	0.57	0.34	-0.18	0.0132	0.0270	(B) BRCA_Normal
GEMIN7	19q13.32	8.42	8.15	0.65	0.55	0.27	0.0132	0.0270	(A) BRCA_Basal
ZIC5	13q32.3	2.46	1.39	2.83	2.15	1.07	0.0132	0.0270	(A) BRCA_Basal
GLYR1	16p13.3	10.92	11.05	0.52	0.20	-0.13	0.0132	0.0270	(B) BRCA_Normal
GRM6	5q35.3	3.26	2.84	1.25	0.80	0.42	0.0132	0.0271	(A) BRCA_Basal
DLEC1	3p22.2	3.09	3.56	1.27	0.94	-0.47	0.0132	0.0272	(B) BRCA_Normal
NPBWR1	8q11.23	0.55	0.27	1.07	0.47	0.29	0.0133	0.0272	(A) BRCA_Basal
SETD6	16q21	8.46	8.21	0.55	0.53	0.25	0.0133	0.0272	(A) BRCA_Basal
ABHD1	2p23.3	2.99	3.60	1.16	1.32	-0.61	0.0133	0.0272	(B) BRCA_Normal
PKP1	1q32.1	10.42	9.47	2.55	1.89	0.94	0.0133	0.0273	(A) BRCA_Basal
PPARA	22q13.31	9.14	8.77	0.78	0.80	0.37	0.0133	0.0273	(A) BRCA_Basal
WDR82	3p21.2	11.48	11.64	0.50	0.32	-0.17	0.0133	0.0273	(B) BRCA_Normal
ADARB2	10p15.3	1.17	1.99	1.40	1.78	-0.81	0.0133	0.0273	(B) BRCA_Normal
MMP7	11q22.2	11.56	10.66	2.59	1.76	0.90	0.0134	0.0274	(A) BRCA_Basal
DNHD1	11p15.4	6.87	7.18	0.95	0.60	-0.31	0.0134	0.0274	(B) BRCA_Normal
ST6GALNAC4	9q34.11	8.22	8.52	0.96	0.56	-0.30	0.0134	0.0274	(B) BRCA_Normal
NRCAM	7q31.1	6.14	6.77	1.68	1.28	-0.63	0.0134	0.0274	(B) BRCA_Normal
SNRNP200	2q11.2	12.71	12.53	0.57	0.34	0.18	0.0134	0.0274	(A) BRCA_Basal
ZSCAN16	6p22.1	7.22	6.89	0.91	0.64	0.32	0.0134	0.0275	(A) BRCA_Basal
PPP4C	16p11.2	11.10	10.83	0.61	0.57	0.27	0.0134	0.0275	(A) BRCA_Basal
CHMP2A	19q13.43	10.53	10.87	0.74	0.72	-0.34	0.0134	0.0275	(B) BRCA_Normal
FYN	6q21	9.44	9.76	0.94	0.62	-0.32	0.0134	0.0275	(B) BRCA_Normal
SELENOH	11q12.1	10.14	9.86	0.74	0.55	0.27	0.0134	0.0275	(A) BRCA_Basal
S100A10	1q21.3	12.51	12.07	1.11	0.90	0.44	0.0135	0.0276	(A) BRCA_Basal
VCPKMT	14q21.3	6.91	7.12	0.56	0.42	-0.21	0.0135	0.0276	(B) BRCA_Normal
R3HCC1	8p21.3	8.94	9.19	0.71	0.51	-0.26	0.0135	0.0276	(B) BRCA_Normal
ATP6V1E1	22q11.21	11.01	11.17	0.44	0.31	-0.16	0.0135	0.0276	(B) BRCA_Normal
C8ORF82	8q24.3	9.03	8.62	0.90	0.88	0.41	0.0135	0.0277	(A) BRCA_Basal
SSH1	12q24.11	10.00	10.27	0.61	0.56	-0.27	0.0135	0.0277	(B) BRCA_Normal
IDH2	15q26.1	12.19	11.78	0.76	0.89	0.41	0.0135	0.0277	(A) BRCA_Basal
HLA-DRB1	6p21.32	12.05	12.61	1.53	1.11	-0.56	0.0135	0.0277	(B) BRCA_Normal
MYPOP	19q13.32	7.53	7.26	0.63	0.58	0.28	0.0136	0.0277	(A) BRCA_Basal
PRR13	12q13.13	10.67	10.91	0.51	0.53	-0.25	0.0136	0.0278	(B) BRCA_Normal
PVRIG	7q22.1	5.75	6.31	1.27	1.18	-0.56	0.0136	0.0278	(B) BRCA_Normal
KLKB1	4q35.2	2.13	2.60	1.27	0.95	-0.47	0.0136	0.0278	(B) BRCA_Normal
SPINK2	4q12	1.46	2.08	1.20	1.35	-0.62	0.0136	0.0278	(B) BRCA_Normal
TCF23	2p23.3	0.11	0.43	0.34	0.72	-0.32	0.0136	0.0278	(B) BRCA_Normal
DEXI	16p13.13	9.12	9.33	0.62	0.41	-0.21	0.0136	0.0279	(B) BRCA_Normal
CITED2	6q24.1	10.08	10.46	0.84	0.82	-0.39	0.0136	0.0279	(B) BRCA_Normal
HDX	Xq21.1	5.34	5.75	1.14	0.81	-0.41	0.0136	0.0279	(B) BRCA_Normal
ZFP14	19q13.12	7.44	7.75	0.79	0.63	-0.31	0.0136	0.0279	(B) BRCA_Normal
MLLT6	17q12	11.49	11.73	0.72	0.47	-0.24	0.0137	0.0279	(B) BRCA_Normal
MARVELD1	10q24.2	9.87	10.24	0.99	0.74	-0.37	0.0137	0.0280	(B) BRCA_Normal
ESF1	20p12.1	8.97	8.71	0.61	0.54	0.26	0.0137	0.0280	(A) BRCA_Basal
PSKH2	8q21.3	0.07	0.01	0.26	0.07	0.06	0.0137	0.0280	(A) BRCA_Basal
MTERF1	7q21.2	7.85	7.62	0.56	0.47	0.23	0.0137	0.0280	(A) BRCA_Basal
TESPA1	12q13.2	4.61	5.36	1.89	1.55	-0.75	0.0137	0.0280	(B) BRCA_Normal
CCDC82	11q21	8.75	8.42	0.64	0.73	0.33	0.0137	0.0281	(A) BRCA_Basal
PROCA1	17q11.2	3.73	4.16	1.02	0.90	-0.43	0.0138	0.0282	(B) BRCA_Normal
MAB21L3	1p13.1	1.39	2.03	1.50	1.35	-0.64	0.0138	0.0282	(B) BRCA_Normal
IL6	7p15.3	5.24	6.27	1.74	2.27	-1.03	0.0138	0.0282	(B) BRCA_Normal
RBBP8NL	20q13.33	7.10	6.44	1.42	1.41	0.66	0.0138	0.0282	(A) BRCA_Basal
RPL23A	17q11.2	11.98	12.26	0.73	0.56	-0.28	0.0138	0.0282	(B) BRCA_Normal
GPX7	1p32.3	8.76	8.34	1.15	0.84	0.42	0.0138	0.0282	(A) BRCA_Basal
SPEN-AS1	1p36.21	6.21	6.53	0.86	0.66	-0.32	0.0138	0.0282	(B) BRCA_Normal
SLC22A10	11q12.3	0.18	0.44	0.38	0.59	-0.26	0.0139	0.0283	(B) BRCA_Normal
UVSSA	4p16.3	6.92	7.20	0.72	0.56	-0.27	0.0139	0.0283	(B) BRCA_Normal
VPS52	6p21.32	10.44	10.27	0.44	0.35	0.17	0.0139	0.0283	(A) BRCA_Basal
LDOC1	Xq27.1	10.18	9.82	1.13	0.68	0.36	0.0139	0.0283	(A) BRCA_Basal
OR6B3	2q37.3	0.09	0.36	0.48	0.60	-0.27	0.0139	0.0284	(B) BRCA_Normal
MITD1	2q11.2	7.92	7.74	0.55	0.36	0.18	0.0139	0.0284	(A) BRCA_Basal
ZNF705D	8p23.1	0.19	0.04	0.67	0.22	0.16	0.0139	0.0284	(A) BRCA_Basal
ERLN	17q25.1	0.71	1.08	0.62	0.80	-0.36	0.0139	0.0284	(B) BRCA_Normal
DNAJC15	13q14.11	9.15	9.50	1.02	0.67	-0.34	0.0140	0.0284	(B) BRCA_Normal
CACNA1I	22q13.1	3.89	4.65	1.89	1.59	-0.76	0.0140	0.0284	(B) BRCA_Normal
ZNF782	9q22.33	5.89	6.15	0.75	0.54	-0.27	0.0140	0.0284	(B) BRCA_Normal
SNHG3	1p35.3	6.37	5.91	1.09	0.98	0.47	0.0140	0.0284	(A) BRCA_Basal
FAM153A	5q35.3	1.17	1.75	1.25	1.24	-0.58	0.0140	0.0285	(B) BRCA_Normal
HNRNPH3	10q21.3	11.27	11.11	0.40	0.32	0.16	0.0140	0.0285	(A) BRCA_Basal
MARVELD2	5q13.2	7.77	8.15	1.03	0.77	-0.38	0.0140	0.0285	(B) BRCA_Normal
BCRP3	22q11.23	2.73	3.30	1.15	1.24	-0.57	0.0140	0.0285	(B) BRCA_Normal
ZNF304	19q13.43	8.31	8.55	0.73	0.47	-0.24	0.0140	0.0285	(B) BRCA_Normal
CALHM5	6q22.1	6.39	6.97	1.18	1.24	-0.58	0.0140	0.0285	(B) BRCA_Normal
IL5RA	3p26.2	0.89	1.43	1.07	1.18	-0.54	0.0140	0.0285	(B) BRCA_Normal
RIMS4	20q13.12	4.48	5.52	2.22	2.23	-1.04	0.0140	0.0286	(B) BRCA_Normal
CLEC12B	12p13.2	0.98	1.51	0.97	1.17	-0.53	0.0140	0.0286	(B) BRCA_Normal
ERN1	17q23.3	6.52	7.18	1.44	1.41	-0.66	0.0141	0.0286	(B) BRCA_Normal
ETFRF1	12p12.1	7.96	8.17	0.77	0.35	-0.21	0.0141	0.0287	(B) BRCA_Normal
FFAR3	19q13.12	2.15	2.78	1.19	1.38	-0.63	0.0141	0.0288	(B) BRCA_Normal
ACO1	9p21.1	9.69	9.99	0.66	0.62	-0.29	0.0141	0.0288	(B) BRCA_Normal
CACNB3	12q13.12	9.33	9.01	0.92	0.65	0.33	0.0141	0.0288	(A) BRCA_Basal
ZMIZ1	10q22.3	11.52	11.73	0.71	0.40	-0.22	0.0142	0.0288	(B) BRCA_Normal
FTSJ3	17q23.3	10.37	10.19	0.57	0.35	0.18	0.0142	0.0288	(A) BRCA_Basal
DTNBP1	6p22.3	8.71	8.48	0.61	0.45	0.22	0.0142	0.0288	(A) BRCA_Basal
PUM2	2p24.1	11.81	11.61	0.48	0.41	0.20	0.0142	0.0289	(A) BRCA_Basal
MCHR1	22q13.2	3.22	3.99	1.31	1.69	-0.76	0.0142	0.0290	(B) BRCA_Normal
SLC52A3	20p13	8.03	8.47	1.29	0.87	-0.44	0.0143	0.0290	(B) BRCA_Normal
AQR	15q14	9.76	10.00	0.60	0.48	-0.23	0.0143	0.0290	(B) BRCA_Normal
HFE	6p22.2	6.83	7.27	1.01	0.93	-0.44	0.0143	0.0290	(B) BRCA_Normal
DNAJB9	7q31.1	9.39	9.67	0.68	0.59	-0.28	0.0143	0.0290	(B) BRCA_Normal
ATAD1	10q23.31	9.63	9.90	1.04	0.45	-0.27	0.0143	0.0290	(B) BRCA_Normal
UBE2J1	6q15	11.14	10.92	0.48	0.49	0.23	0.0143	0.0291	(A) BRCA_Basal
USP42	7p22.1	8.83	8.66	0.51	0.34	0.17	0.0143	0.0291	(A) BRCA_Basal
TMEM45A	3q12.2	9.79	9.16	1.63	1.31	0.63	0.0144	0.0292	(A) BRCA_Basal
TAB3	Xp21.2	9.25	9.55	0.78	0.61	-0.30	0.0144	0.0292	(B) BRCA_Normal
KDM3B	5q31.2	10.82	11.04	0.54	0.47	-0.22	0.0144	0.0292	(B) BRCA_Normal
CST6	11q13.1	5.15	6.16	2.00	2.20	-1.01	0.0144	0.0292	(B) BRCA_Normal
ACSM6	10q23.33	0.12	0.61	0.41	1.13	-0.49	0.0144	0.0292	(B) BRCA_Normal
DDX21	10q22.1	11.19	10.80	0.93	0.82	0.39	0.0144	0.0293	(A) BRCA_Basal
KLB	4p14	4.16	4.90	1.26	1.65	-0.74	0.0144	0.0293	(B) BRCA_Normal
NDOR1	9q34.3	8.97	9.29	0.75	0.68	-0.32	0.0145	0.0293	(B) BRCA_Normal
ZNF875	19q13.12	9.25	9.47	0.76	0.41	-0.22	0.0145	0.0293	(B) BRCA_Normal
DDX53	Xp22.11	0.12	0.01	0.53	0.07	0.10	0.0145	0.0294	(A) BRCA_Basal
LRP11	6q25.1	10.20	9.90	0.84	0.59	0.29	0.0145	0.0294	(A) BRCA_Basal
UOX	1p31.1	0.33	0.58	0.49	0.55	-0.25	0.0145	0.0294	(B) BRCA_Normal
LSM1	8p11.23	9.45	9.17	0.75	0.58	0.28	0.0145	0.0294	(A) BRCA_Basal
FOXN1	17q11.2	1.51	2.31	1.55	1.76	-0.80	0.0145	0.0294	(B) BRCA_Normal
TNFRSF1A	12p13.31	11.28	11.51	0.59	0.46	-0.22	0.0145	0.0295	(B) BRCA_Normal
ANP32A	15q23	11.48	11.29	0.47	0.38	0.18	0.0145	0.0295	(A) BRCA_Basal
SFT2D3	2q14.3	8.52	8.32	0.49	0.43	0.21	0.0146	0.0295	(A) BRCA_Basal
TANC1	2q24.2	9.74	10.01	0.75	0.54	-0.27	0.0146	0.0296	(B) BRCA_Normal
SYP	Xp11.23	4.73	5.26	1.14	1.14	-0.53	0.0146	0.0296	(B) BRCA_Normal
TMPPE	3p22.3	5.58	5.19	0.92	0.82	0.39	0.0146	0.0296	(A) BRCA_Basal
BNIPL	1q21.3	7.36	8.18	2.31	1.65	-0.82	0.0146	0.0296	(B) BRCA_Normal
CHRND	2q37.1	0.22	0.06	0.78	0.17	0.16	0.0146	0.0297	(A) BRCA_Basal
CNEP1R1	16q12.1	7.80	7.99	0.51	0.39	-0.19	0.0147	0.0297	(B) BRCA_Normal
CPXCR1	Xq21.31	0.10	0.02	0.34	0.12	0.08	0.0147	0.0297	(A) BRCA_Basal
THAP8	19q13.12	7.21	6.89	0.77	0.67	0.32	0.0147	0.0297	(A) BRCA_Basal
HOXC8	12q13.13	6.22	6.64	0.92	0.92	-0.43	0.0147	0.0297	(B) BRCA_Normal
MYL6	12q13.2	13.64	13.89	0.61	0.53	-0.25	0.0147	0.0297	(B) BRCA_Normal
TEX47	7q21.13	0.02	0.18	0.10	0.37	-0.16	0.0147	0.0297	(B) BRCA_Normal
RALY	20q11.22	11.80	11.52	0.63	0.60	0.28	0.0147	0.0297	(A) BRCA_Basal
SFTPA2	10q22.3	1.68	2.48	1.52	1.75	-0.79	0.0147	0.0298	(B) BRCA_Normal
TENM3-AS1	4q34.3	2.87	3.61	1.70	1.59	-0.75	0.0147	0.0298	(B) BRCA_Normal
KCTD18	2q33.1	8.41	8.59	0.53	0.36	-0.18	0.0147	0.0298	(B) BRCA_Normal
GNRH1	8p21.2	5.26	4.87	1.07	0.78	0.39	0.0147	0.0298	(A) BRCA_Basal
ST7-AS1	7q31.2	5.05	5.41	1.06	0.73	-0.37	0.0147	0.0298	(B) BRCA_Normal
ETV4	17q21.31	8.21	7.50	1.76	1.49	0.71	0.0147	0.0298	(A) BRCA_Basal
ABCA7	19p13.3	7.92	8.35	1.11	0.89	-0.43	0.0147	0.0298	(B) BRCA_Normal
C19ORF12	19q12	9.28	9.10	0.74	0.28	0.18	0.0147	0.0298	(A) BRCA_Basal
PLA1A	3q13.33	4.88	5.60	1.56	1.56	-0.72	0.0148	0.0299	(B) BRCA_Normal
HILPDA	7q32.1	9.35	8.84	0.87	1.14	0.51	0.0148	0.0299	(A) BRCA_Basal
NCCRP1	19q13.2	8.10	7.00	2.75	2.32	1.11	0.0148	0.0299	(A) BRCA_Basal
NSUN5P1	7q11.23	6.90	6.41	1.07	1.04	0.48	0.0148	0.0299	(A) BRCA_Basal
LYPD1	2q21.2	6.75	6.10	1.58	1.38	0.65	0.0148	0.0300	(A) BRCA_Basal
FGF11	17p13.1	7.45	6.96	1.22	1.03	0.49	0.0148	0.0300	(A) BRCA_Basal
ADCY7	16q12.1	9.75	9.30	0.90	1.00	0.46	0.0148	0.0300	(A) BRCA_Basal
APOBEC1	12p13.31	0.21	0.06	0.64	0.21	0.15	0.0149	0.0301	(A) BRCA_Basal
TMED10	14q24.3	12.65	12.86	0.48	0.43	-0.20	0.0150	0.0303	(B) BRCA_Normal
HCLS1	3q13.33	9.55	10.07	1.25	1.08	-0.51	0.0150	0.0303	(B) BRCA_Normal
ANKRD46	8q22.3	8.87	8.59	0.73	0.60	0.29	0.0150	0.0303	(A) BRCA_Basal
ZDHHC2	8p22	7.71	8.20	1.48	0.97	-0.49	0.0150	0.0303	(B) BRCA_Normal
PLCB3	11q13.1	9.98	9.72	0.62	0.56	0.26	0.0150	0.0303	(A) BRCA_Basal
CIMAP3	1p13.2	5.84	6.48	1.51	1.36	-0.64	0.0150	0.0303	(B) BRCA_Normal
RRP9	3p21.2	8.89	8.59	0.76	0.63	0.30	0.0150	0.0304	(A) BRCA_Basal
TEKT3	17p12	2.81	3.40	1.59	1.23	-0.59	0.0150	0.0304	(B) BRCA_Normal
IL2RA	10p15.1	6.21	5.36	1.80	1.85	0.85	0.0150	0.0304	(A) BRCA_Basal
UBALD1	16p13.3	8.46	8.78	0.76	0.69	-0.33	0.0150	0.0304	(B) BRCA_Normal
MGAT1	5q35.3	11.55	11.81	0.59	0.55	-0.25	0.0150	0.0304	(B) BRCA_Normal
