Gene	Cytoband	(A) BRCA_Basal	(B) BRCA_Normal	(A) BRCA_Basal	(B) BRCA_Normal	Log2 Ratio	p-Value	q-Value	Higher expression in
MAP3K12	12q13.13	6.33	7.83	0.83	0.63	-1.50	3.29e-18	5.01e-16	(B) BRCA_Normal
SF3B6	2p23.3	10.99	10.20	0.63	0.33	0.79	3.56e-18	5.37e-16	(A) BRCA_Basal
TTC13	1q42.2	9.33	8.28	0.61	0.45	1.05	3.85e-18	5.76e-16	(A) BRCA_Basal
LDB2	4p15.32	7.10	8.82	1.01	0.73	-1.71	3.87e-18	5.76e-16	(B) BRCA_Normal
IL33	9p24.1	6.25	9.46	2.14	1.37	-3.21	3.97e-18	5.87e-16	(B) BRCA_Normal
CACNA1C	12p13.33	7.07	8.66	1.45	0.65	-1.60	4.16e-18	6.09e-16	(B) BRCA_Normal
RIOK1	6p24.3	9.84	8.94	0.67	0.39	0.90	4.32e-18	6.29e-16	(A) BRCA_Basal
MMRN2	10q23.2	8.49	10.28	0.96	0.76	-1.79	4.49e-18	6.49e-16	(B) BRCA_Normal
MSH6	2p16.3	11.37	10.48	0.66	0.38	0.89	4.64e-18	6.65e-16	(A) BRCA_Basal
RBM8A	1q21.1	11.61	10.95	0.54	0.28	0.66	4.68e-18	6.67e-16	(A) BRCA_Basal
EDNRB	13q22.3	6.77	8.77	1.46	0.85	-2.00	4.72e-18	6.67e-16	(B) BRCA_Normal
NAALADL1	11q13.1	4.70	6.34	1.01	0.70	-1.63	4.99e-18	7.00e-16	(B) BRCA_Normal
E2F3	6p22.3	10.17	8.86	0.73	0.56	1.31	5.18e-18	7.22e-16	(A) BRCA_Basal
SF3A3	1p34.3	11.29	10.79	0.50	0.19	0.50	5.37e-18	7.44e-16	(A) BRCA_Basal
RCOR2	11q13.1	7.89	5.22	1.39	1.13	2.66	5.57e-18	7.66e-16	(A) BRCA_Basal
SHE	1q21.3	6.48	8.23	1.18	0.76	-1.75	6.06e-18	8.28e-16	(B) BRCA_Normal
KIAA0825	5q15	4.44	5.98	0.80	0.66	-1.54	6.33e-18	8.59e-16	(B) BRCA_Normal
MAGOHB	12p13.2	8.97	7.99	0.80	0.42	0.98	6.52e-18	8.78e-16	(A) BRCA_Basal
NOL10	2p25.1	10.14	9.42	0.57	0.31	0.72	6.77e-18	9.05e-16	(A) BRCA_Basal
HSPA14	10p13	9.92	8.99	0.68	0.40	0.92	6.81e-18	9.05e-16	(A) BRCA_Basal
MED30	8q24.11	8.43	7.41	0.68	0.44	1.02	7.43e-18	9.80e-16	(A) BRCA_Basal
ANKRD29	18q11.2	4.34	6.51	1.37	0.94	-2.17	7.75e-18	1.02e-15	(B) BRCA_Normal
HDAC2	6q21	11.92	10.94	0.69	0.42	0.98	8.13e-18	1.06e-15	(A) BRCA_Basal
PARP1	1q42.12	12.68	11.87	0.52	0.35	0.81	8.60e-18	1.11e-15	(A) BRCA_Basal
NRXN3	14q24.3-q31.1	3.70	5.99	1.40	0.99	-2.28	9.83e-18	1.26e-15	(B) BRCA_Normal
CLCN6	1p36.22	7.89	8.65	0.66	0.32	-0.76	1.09e-17	1.40e-15	(B) BRCA_Normal
DELE1	5q31.3	9.31	10.11	0.48	0.35	-0.80	1.13e-17	1.43e-15	(B) BRCA_Normal
TTC28	22q12.1	7.91	9.40	1.06	0.65	-1.49	1.15e-17	1.44e-15	(B) BRCA_Normal
GPIHBP1	8q24.3	3.81	6.73	1.65	1.27	-2.92	1.16e-17	1.44e-15	(B) BRCA_Normal
MTBP	8q24.12	8.03	6.33	0.82	0.73	1.69	1.16e-17	1.44e-15	(A) BRCA_Basal
CORO2B	15q23	4.97	7.21	1.36	0.98	-2.24	1.28e-17	1.59e-15	(B) BRCA_Normal
C11ORF86	11q13.2	3.14	0.62	2.35	1.05	2.52	1.30e-17	1.60e-15	(A) BRCA_Basal
UCK2	1q24.1	9.95	8.83	0.68	0.49	1.12	1.33e-17	1.62e-15	(A) BRCA_Basal
PDE2A	11q13.4	6.03	8.20	1.19	0.95	-2.17	1.42e-17	1.72e-15	(B) BRCA_Normal
PSMG1	21q22.2	9.70	8.68	0.67	0.45	1.02	1.57e-17	1.90e-15	(A) BRCA_Basal
DPH2	1p34.1	9.78	9.02	0.59	0.33	0.76	1.70e-17	2.04e-15	(A) BRCA_Basal
GNPAT	1q42.2	10.66	10.05	0.50	0.26	0.61	1.73e-17	2.07e-15	(A) BRCA_Basal
MCM2	3q21.3	11.15	9.49	0.77	0.71	1.66	1.76e-17	2.08e-15	(A) BRCA_Basal
RAD51AP1	12p13.32	8.83	6.82	0.98	0.87	2.01	1.84e-17	2.17e-15	(A) BRCA_Basal
TAF5	10q24.33	7.54	6.73	0.62	0.36	0.81	1.96e-17	2.30e-15	(A) BRCA_Basal
RHOBTB2	8p21.3	8.19	9.28	0.90	0.47	-1.09	2.02e-17	2.35e-15	(B) BRCA_Normal
ARHGAP20	11q22.3-q23.1	4.40	6.57	1.42	0.96	-2.17	2.05e-17	2.38e-15	(B) BRCA_Normal
LTBP2	14q24.3	10.80	12.68	1.16	0.83	-1.88	2.11e-17	2.43e-15	(B) BRCA_Normal
S1PR1	1p21.2	8.08	9.85	1.05	0.78	-1.77	2.13e-17	2.44e-15	(B) BRCA_Normal
AQP1	7p14.3	10.85	12.73	1.41	0.83	-1.88	2.17e-17	2.47e-15	(B) BRCA_Normal
COX7A1	19q13.12	5.48	7.35	1.33	0.83	-1.86	2.20e-17	2.49e-15	(B) BRCA_Normal
CHCHD3	7q32.3-q33	10.24	9.56	0.50	0.30	0.68	2.24e-17	2.52e-15	(A) BRCA_Basal
IGFBP4	17q21.2	12.29	14.08	1.05	0.79	-1.79	2.33e-17	2.61e-15	(B) BRCA_Normal
SCN2B	11q23.3	1.85	5.39	1.33	1.51	-3.54	2.80e-17	3.11e-15	(B) BRCA_Normal
MCM6	2q21.3	11.12	9.92	0.65	0.53	1.20	2.84e-17	3.14e-15	(A) BRCA_Basal
NGFR	17q21.33	6.82	9.70	2.00	1.28	-2.88	2.85e-17	3.14e-15	(B) BRCA_Normal
YBX1	1p34.2	13.58	12.74	0.61	0.37	0.84	2.95e-17	3.23e-15	(A) BRCA_Basal
AFF3	2q11.2	6.15	9.60	2.02	1.54	-3.45	3.66e-17	3.98e-15	(B) BRCA_Normal
HRC	19q13.33	2.50	4.60	1.11	0.93	-2.09	3.71e-17	4.01e-15	(B) BRCA_Normal
TMC5	16p12.3	4.77	8.97	2.71	1.88	-4.20	3.73e-17	4.01e-15	(B) BRCA_Normal
LYSMD1	1q21.3	8.46	7.59	0.70	0.38	0.87	3.77e-17	4.01e-15	(A) BRCA_Basal
VIPR1	3p22.1	6.13	8.42	1.43	1.03	-2.29	3.77e-17	4.01e-15	(B) BRCA_Normal
DNAH9	17p12	1.37	3.36	1.17	0.89	-1.99	3.91e-17	4.14e-15	(B) BRCA_Normal
RBM34	1q42.3	10.32	9.53	0.60	0.35	0.79	3.97e-17	4.19e-15	(A) BRCA_Basal
THSD1	13q14.3	5.90	7.58	0.91	0.75	-1.68	4.10e-17	4.29e-15	(B) BRCA_Normal
CHEK1	11q24.2	8.83	7.27	0.72	0.69	1.56	4.14e-17	4.29e-15	(A) BRCA_Basal
OGN	9q22.31	4.91	8.96	2.49	1.82	-4.05	4.14e-17	4.29e-15	(B) BRCA_Normal
CTPS1	1p34.2	10.51	9.20	0.60	0.58	1.31	4.15e-17	4.29e-15	(A) BRCA_Basal
CDCA2	8p21.2	8.87	6.28	1.01	1.12	2.59	4.33e-17	4.43e-15	(A) BRCA_Basal
RFWD3	16q23.1	10.33	9.48	0.65	0.38	0.85	4.34e-17	4.43e-15	(A) BRCA_Basal
PHYHD1	9q34.11	5.29	8.42	2.04	1.41	-3.13	4.41e-17	4.48e-15	(B) BRCA_Normal
EDA2R	Xq12	4.66	6.77	1.24	0.95	-2.11	4.61e-17	4.66e-15	(B) BRCA_Normal
TK2	16q21	8.99	9.81	0.59	0.37	-0.82	4.77e-17	4.80e-15	(B) BRCA_Normal
ANKRD42	11q14.1	7.20	8.03	0.65	0.37	-0.83	4.83e-17	4.84e-15	(B) BRCA_Normal
ATP1A2	1q23.2	2.40	5.99	1.79	1.60	-3.59	4.91e-17	4.88e-15	(B) BRCA_Normal
DEK	6p22.3	12.31	11.11	0.80	0.54	1.20	4.92e-17	4.88e-15	(A) BRCA_Basal
NDUFA9	12p13.3	10.96	10.20	0.73	0.32	0.76	5.21e-17	5.14e-15	(A) BRCA_Basal
SESN1	6q21	8.38	9.63	0.69	0.56	-1.25	5.49e-17	5.38e-15	(B) BRCA_Normal
DACH1	13q21.33	4.40	7.53	1.74	1.41	-3.13	5.51e-17	5.38e-15	(B) BRCA_Normal
LAYN	11q23.1	6.43	7.90	1.11	0.66	-1.47	5.67e-17	5.51e-15	(B) BRCA_Normal
DNASE1L3	3p14.3	3.09	5.45	1.88	1.06	-2.36	5.77e-17	5.58e-15	(B) BRCA_Normal
POGK	1q24.1	11.47	10.64	0.64	0.38	0.84	6.06e-17	5.84e-15	(A) BRCA_Basal
SCUBE2	11p15.4	6.46	10.70	1.75	1.86	-4.24	6.45e-17	6.18e-15	(B) BRCA_Normal
IFRD1	7q31.1	10.45	9.23	0.71	0.55	1.21	6.77e-17	6.45e-15	(A) BRCA_Basal
ABCA9	17q24.2	4.20	7.02	1.81	1.28	-2.82	6.91e-17	6.56e-15	(B) BRCA_Normal
TIPRL	1q24.2	10.72	9.94	0.50	0.35	0.78	7.31e-17	6.91e-15	(A) BRCA_Basal
FAM72B	1p11.2	8.26	5.79	0.80	1.06	2.48	7.47e-17	7.03e-15	(A) BRCA_Basal
NAP1L2	Xq13.2	3.83	6.20	1.81	1.08	-2.38	7.78e-17	7.28e-15	(B) BRCA_Normal
