drug_claim_name	nomenclature	concept_id	drug_name	approved	immunotherapy	anti_neoplastic	source_db_name	source_db_version
5-methyl-6-phenylquinazoline-2,4-diamine	Primary Name	drugbank:DB08317	5-METHYL-6-PHENYLQUINAZOLINE-2,4-DIAMINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
N-3-OXO-DODECANOYL-L-HOMOSERINE LACTONE	Primary Name	drugbank:DB08324	N-3-OXO-DODECANOYL-L-HOMOSERINE LACTONE	FALSE	FALSE	FALSE	DrugBank	5.1.12
Diethylene glycol diethyl ether	Primary Name	rxcui:1435108	DIETHYLENE GLYCOL DIETHYL ETHER	FALSE	FALSE	FALSE	DrugBank	5.1.12
OCTANE-1,3,5,7-TETRACARBOXYLIC ACID	Primary Name	drugbank:DB08368	OCTANE-1,3,5,7-TETRACARBOXYLIC ACID	FALSE	FALSE	FALSE	DrugBank	5.1.12
N-[4-(4-nitrophenylphospho)butanoyl]-D-alanine	Primary Name	drugbank:DB08377	N-[4-(4-NITROPHENYLPHOSPHO)BUTANOYL]-D-ALANINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine	Primary Name	drugbank:DB08398	2-AMINO-1-METHYL-6-PHENYLIMIDAZO(4,5-B)PYRIDINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
Piceatannol	Primary Name	ncit:C1195	PICEATANNOL	FALSE	FALSE	FALSE	DrugBank	5.1.12
(2E)-2-({(2S)-2-CARBOXY-2-[(PHENOXYACETYL)AMINO]ETHOXY}IMINO)PENTANEDIOIC ACID	Primary Name	drugbank:DB08401	(2E)-2-({(2S)-2-CARBOXY-2-[(PHENOXYACETYL)AMINO]ETHOXY}IMINO)PENTANEDIOIC ACID	FALSE	FALSE	FALSE	DrugBank	5.1.12
METHYLAMINO-PHENYLALANYL-LEUCYL-HYDROXAMIC ACID	Primary Name	drugbank:DB08403	METHYLAMINO-PHENYLALANYL-LEUCYL-HYDROXAMIC ACID	FALSE	FALSE	FALSE	DrugBank	5.1.12
N-[4-(4-nitrophenylphospho)butanoyl]-L-alanine	Primary Name	drugbank:DB08411	N-[4-(4-NITROPHENYLPHOSPHO)BUTANOYL]-L-ALANINE	FALSE	FALSE	FALSE	DrugBank	5.1.12
